"""""""""""""""C:\RaDeCC\Data\AL557_062021\050621_1grey_St3.txt
Start Time 6/5/2021  09:52:46
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  006.000  0000006  021.000  0000021
0002.00  000.000  0000000  004.000  0000002  014.000  0000007
0003.00  000.000  0000000  002.667  0000000  010.667  0000004
0004.00  000.250  0000001  002.250  0000001  010.750  0000011
0005.00  000.600  0000002  003.400  0000008  012.600  0000020
0006.00  000.500  0000000  003.333  0000003  012.167  0000010
0007.00  000.429  0000000  002.857  0000000  011.571  0000008
0008.00  000.375  0000000  002.750  0000002  011.000  0000007
0009.02  000.333  0000000  002.662  0000002  010.314  0000005
0010.02  000.399  0000001  002.696  0000003  010.383  0000011
0011.00  000.364  0000000  002.545  0000001  009.818  0000004
0012.00  000.417  0000001  002.417  0000001  009.667  0000008
0013.00  000.385  0000000  002.385  0000002  009.231  0000004
0014.02  000.357  0000000  002.212  0000000  008.989  0000006
0015.02  000.333  0000000  002.198  0000002  008.923  0000008
0016.00  000.313  0000000  002.188  0000002  008.938  0000009
0017.02  000.294  0000000  002.116  0000001  008.697  0000005
0018.02  000.278  0000000  002.220  0000004  008.714  0000009
0019.02  000.263  0000000  002.577  0000009  009.150  0000017
0020.02  000.250  0000000  002.998  0000011  009.842  0000023
0021.02  000.238  0000000  002.998  0000003  009.992  0000013
0022.02  000.227  0000000  002.952  0000002  009.856  0000007
0023.02  000.261  0000001  002.867  0000001  009.732  0000007
0024.02  000.250  0000000  002.956  0000005  009.910  0000014
0025.02  000.240  0000000  002.998  0000004  010.073  0000014
0026.02  000.231  0000000  002.921  0000001  009.840  0000004
0027.03  000.259  0000001  002.922  0000003  009.914  0000012
0028.03  000.250  0000000  002.961  0000004  009.952  0000011
0029.02  000.276  0000001  002.964  0000003  010.063  0000013
0030.02  000.267  0000000  003.032  0000005  010.261  0000016
0031.02  000.258  0000000  003.063  0000004  010.317  0000012
0032.03  000.281  0000001  002.997  0000001  010.271  0000009
0033.03  000.333  0000002  003.058  0000005  010.323  0000012
0034.03  000.323  0000000  002.997  0000001  010.167  0000005
0035.02  000.314  0000000  003.056  0000005  010.424  0000019
0036.03  000.305  0000000  003.025  0000002  010.352  0000008
0037.03  000.324  0000001  003.051  0000004  010.450  0000014
0038.03  000.316  0000000  002.997  0000001  010.254  0000003
0039.03  000.307  0000000  003.023  0000004  010.273  0000011
0040.03  000.300  0000000  003.022  0000003  010.266  0000010
0041.03  000.317  0000001  003.046  0000004  010.333  0000013
0042.05  000.309  0000000  003.092  0000005  010.392  0000013
0043.05  000.325  0000001  003.066  0000002  010.383  0000010
0044.03  000.318  0000000  002.998  0000000  010.265  0000005
0045.03  000.311  0000000  003.042  0000005  010.348  0000014
0046.03  000.304  0000000  003.041  0000003  010.384  0000012
0047.05  000.319  0000001  003.039  0000003  010.414  0000012
0048.05  000.312  0000000  002.997  0000001  010.343  0000007
0049.03  000.306  0000000  002.957  0000001  010.258  0000006
0050.03  000.320  0000001  002.978  0000004  010.313  0000013
0051.05  000.313  0000000  002.938  0000001  010.245  0000007
0052.05  000.307  0000000  002.901  0000001  010.183  0000007
0053.05  000.320  0000001  003.016  0000009  010.405  0000022
0054.05  000.315  0000000  003.034  0000004  010.472  0000014
0055.05  000.327  0000001  003.034  0000003  010.500  0000012
0056.05  000.321  0000000  002.997  0000001  010.455  0000008
0057.05  000.316  0000000  002.962  0000001  010.412  0000008
0058.07  000.310  0000000  002.979  0000004  010.454  0000013
0059.05  000.305  0000000  002.930  0000000  010.364  0000005
