C:\RaDeCC\Data\AL557_062021\050621_1orange_St1.txt
Start Time 6/5/2021  11:50:32
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  011.186  0000011  026.441  0000026
0001.98  000.000  0000000  010.084  0000009  023.697  0000021
0002.98  001.006  0000003  009.385  0000008  025.810  0000030
0003.98  000.753  0000000  010.544  0000014  026.862  0000030
0004.98  000.803  0000001  012.241  0000019  029.498  0000040
0006.00  000.667  0000000  012.667  0000015  029.167  0000028
0007.00  000.571  0000000  012.571  0000012  028.429  0000024
0007.98  000.626  0000001  012.150  0000009  027.933  0000024
0008.98  000.668  0000001  012.913  0000019  029.054  0000038
0010.00  000.700  0000001  013.100  0000015  029.800  0000037
0011.00  000.636  0000000  012.909  0000011  029.273  0000024
0012.00  000.750  0000002  012.917  0000013  029.333  0000030
0013.00  000.692  0000000  012.615  0000009  028.615  0000020
0013.98  000.858  0000003  012.944  0000017  029.249  0000037
0015.00  000.800  0000000  013.533  0000022  030.067  0000042
0016.00  000.875  0000002  013.625  0000015  030.563  0000038
0017.00  000.824  0000000  013.529  0000012  030.588  0000031
0018.00  000.833  0000001  013.667  0000016  030.778  0000034
0019.00  000.842  0000001  013.526  0000011  030.526  0000026
0020.02  000.799  0000000  013.739  0000018  030.774  0000036
0021.00  000.762  0000000  013.524  0000009  030.333  0000021
0022.00  000.727  0000000  013.818  0000020  030.727  0000039
0023.00  000.739  0000001  013.957  0000017  030.783  0000032
0024.02  000.708  0000000  013.907  0000013  030.645  0000028
0025.02  000.680  0000000  013.871  0000013  030.580  0000029
0026.02  000.692  0000001  013.953  0000016  030.404  0000026
0027.00  000.667  0000000  014.111  0000018  030.630  0000036
0028.02  000.642  0000000  014.134  0000015  030.732  0000034
0029.02  000.620  0000000  014.233  0000017  030.913  0000036
0030.02  000.666  0000002  014.092  0000010  030.650  0000023
0031.02  000.677  0000001  014.283  0000020  030.854  0000037
0032.02  000.656  0000000  014.118  0000009  030.515  0000020
0033.02  000.636  0000000  014.144  0000015  030.530  0000031
