"C:\RaDeCC\Data\AL557_062021\050621_1orange_blank1.txt
Start Time 6/5/2021  09:49:02
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  000.000  0000000  000.000  0000000
0001.98  000.000  0000000  000.000  0000000  000.000  0000000
0002.98  000.000  0000000  000.000  0000000  000.000  0000000
0003.98  000.000  0000000  000.000  0000000  000.251  0000001
0004.98  000.000  0000000  000.000  0000000  000.602  0000002
0005.98  000.000  0000000  000.000  0000000  000.669  0000001
0007.00  000.000  0000000  000.000  0000000  000.571  0000000
0008.00  000.000  0000000  000.000  0000000  000.625  0000001
0009.00  000.000  0000000  000.000  0000000  000.667  0000001
0009.98  000.000  0000000  000.000  0000000  000.601  0000000
0010.98  000.000  0000000  000.000  0000000  000.728  0000002
0012.00  000.000  0000000  000.000  0000000  000.750  0000001
0013.00  000.000  0000000  000.000  0000000  000.769  0000001
0014.00  000.000  0000000  000.000  0000000  000.714  0000000
0015.00  000.000  0000000  000.000  0000000  000.733  0000001
0016.00  000.000  0000000  000.000  0000000  000.688  0000000
0017.00  000.000  0000000  000.000  0000000  000.647  0000000
0018.00  000.000  0000000  000.000  0000000  000.611  0000000
0019.00  000.000  0000000  000.000  0000000  000.737  0000003
0020.02  000.000  0000000  000.000  0000000  000.699  0000000
0021.00  000.000  0000000  000.000  0000000  000.667  0000000
0022.00  000.000  0000000  000.000  0000000  000.636  0000000
0023.00  000.000  0000000  000.000  0000000  000.652  0000001
0024.02  000.000  0000000  000.000  0000000  000.625  0000000
0025.02  000.000  0000000  000.000  0000000  000.600  0000000
0026.02  000.000  0000000  000.000  0000000  000.577  0000000
0027.02  000.000  0000000  000.000  0000000  000.555  0000000
0028.00  000.000  0000000  000.000  0000000  000.536  0000000
0029.00  000.000  0000000  000.000  0000000  000.517  0000000
0030.02  000.000  0000000  000.000  0000000  000.500  0000000
0031.02  000.000  0000000  000.000  0000000  000.484  0000000
0032.02  000.000  0000000  000.000  0000000  000.469  0000000
0033.02  000.000  0000000  000.000  0000000  000.454  0000000
0034.02  000.000  0000000  000.000  0000000  000.441  0000000
0035.02  000.000  0000000  000.000  0000000  000.428  0000000
0036.02  000.000  0000000  000.000  0000000  000.416  0000000
0037.02  000.000  0000000  000.000  0000000  000.405  0000000
0038.03  000.000  0000000  000.000  0000000  000.394  0000000
0039.03  000.000  0000000  000.000  0000000  000.384  0000000
0040.03  000.000  0000000  000.000  0000000  000.400  0000001
0041.03  000.000  0000000  000.000  0000000  000.390  0000000
0042.03  000.000  0000000  000.000  0000000  000.404  0000001
0043.02  000.000  0000000  000.000  0000000  000.442  0000002
0044.02  000.000  0000000  000.000  0000000  000.432  0000000
0045.03  000.000  0000000  000.000  0000000  000.444  0000001
0046.03  000.000  0000000  000.000  0000000  000.434  0000000
0047.03  000.000  0000000  000.000  0000000  000.425  0000000
0048.03  000.000  0000000  000.000  0000000  000.416  0000000
0049.03  000.000  0000000  000.000  0000000  000.408  0000000
0050.03  000.000  0000000  000.000  0000000  000.420  0000001
0051.03  000.000  0000000  000.000  0000000  000.411  0000000
0052.03  000.000  0000000  000.000  0000000  000.404  0000000
0053.05  000.000  0000000  000.000  0000000  000.396  0000000
0054.05  000.000  0000000  000.000  0000000  000.389  0000000
0055.03  000.000  0000000  000.000  0000000  000.382  0000000
0056.03  000.000  0000000  000.000  0000000  000.375  0000000
0057.03  000.000  0000000  000.000  0000000  000.368  0000000
0058.05  000.000  0000000  000.000  0000000  000.362  0000000
0059.05  000.000  0000000  000.000  0000000  000.373  0000001
0060.07  000.000  0000000  000.000  0000000  000.366  0000000
0061.07  000.000  0000000  000.000  0000000  000.360  0000000
0062.07  000.000  0000000  000.000  0000000  000.354  0000000
0063.07  000.000  0000000  000.000  0000000  000.365  0000001
0064.05  000.000  0000000  000.000  0000000  000.359  0000000
0065.07  000.000  0000000  000.000  0000000  000.353  0000000
0066.07  000.000  0000000  000.000  0000000  000.348  0000000
0067.07  000.000  0000000  000.000  0000000  000.343  0000000
0068.07  000.000  0000000  000.000  0000000  000.338  0000000
0069.07  000.000  0000000  000.000  0000000  000.333  0000000
0070.07  000.000  0000000  000.000  0000000  000.343  0000001
0071.08  000.000  0000000  000.000  0000000  000.338  0000000
0072.07  000.000  0000000  000.000  0000000  000.333  0000000
"
0074.07  000.000  0000000  000.000  0000000  000.324  0000000
Group 2 Stopped 6/5/2021  11:03:12
 
Count Summary
C:\ProgramData\RaDeCC\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0074.17  000.000  000000  000.000  000000  000.324  000024
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

