C:\RaDeCC\Data\AL557_062021\050621_2blue_St5.txt
Start Time 6/5/2021  13:26:45
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  002.000  0000002  005.000  0000005
0002.00  000.000  0000000  001.000  0000000  003.500  0000002
0003.00  000.333  0000001  000.667  0000000  004.000  0000005
0004.00  000.250  0000000  000.750  0000001  004.000  0000004
0005.00  000.200  0000000  000.800  0000001  003.800  0000003
0006.00  000.167  0000000  001.167  0000003  004.333  0000007
0007.00  000.143  0000000  001.286  0000002  004.429  0000005
0008.00  000.125  0000000  001.250  0000001  004.250  0000003
0009.02  000.111  0000000  001.220  0000001  003.993  0000002
0010.02  000.100  0000000  001.298  0000002  004.093  0000005
0011.00  000.091  0000000  001.364  0000002  004.455  0000008
0012.00  000.083  0000000  001.250  0000000  004.333  0000003
0013.00  000.154  0000001  001.154  0000000  004.154  0000002
0014.02  000.143  0000000  001.141  0000001  004.209  0000005
0015.02  000.133  0000000  001.199  0000002  004.395  0000007
0016.02  000.125  0000000  001.186  0000001  004.308  0000003
0017.00  000.118  0000000  001.118  0000000  004.235  0000003
0018.02  000.111  0000000  001.110  0000001  004.274  0000005
0019.02  000.105  0000000  001.209  0000003  004.417  0000007
0020.02  000.100  0000000  001.199  0000001  004.396  0000004
0021.02  000.095  0000000  001.142  0000000  004.235  0000001
0022.03  000.091  0000000  001.135  0000001  004.266  0000005
0023.02  000.087  0000000  001.173  0000002  004.388  0000007
0024.02  000.083  0000000  001.124  0000000  004.372  0000004
0025.02  000.080  0000000  001.159  0000002  004.437  0000006
0026.02  000.077  0000000  001.153  0000001  004.497  0000006
0027.03  000.074  0000000  001.221  0000003  004.624  0000008
0028.03  000.071  0000000  001.177  0000000  004.637  0000005
0029.02  000.069  0000000  001.206  0000002  004.652  0000005
0030.02  000.067  0000000  001.233  0000002  004.697  0000006
0031.03  000.097  0000001  001.192  0000000  004.705  0000005
0032.03  000.094  0000000  001.217  0000002  004.745  0000006
0033.03  000.091  0000000  001.211  0000001  004.783  0000006
0034.03  000.088  0000000  001.175  0000000  004.672  0000001
0035.02  000.086  0000000  001.171  0000001  004.598  0000002
0036.03  000.083  0000000  001.138  0000000  004.579  0000004
0037.03  000.081  0000000  001.161  0000002  004.617  0000006
0038.03  000.079  0000000  001.131  0000000  004.575  0000003
0039.03  000.077  0000000  001.127  0000001  004.560  0000004
0040.05  000.075  0000000  001.099  0000000  004.569  0000005
0041.03  000.073  0000000  001.145  0000003  004.630  0000007
0042.03  000.071  0000000  001.118  0000000  004.592  0000003
0043.03  000.093  0000001  001.139  0000002  004.741  0000011
0044.05  000.091  0000000  001.112  0000000  004.654  0000001
0045.05  000.089  0000000  001.132  0000002  004.684  0000006
0046.05  000.087  0000000  001.173  0000003  004.799  0000010
0047.03  000.106  0000001  001.169  0000001  004.848  0000007
0048.03  000.104  0000000  001.166  0000001  004.809  0000003
0049.05  000.102  0000000  001.162  0000001  004.791  0000004
