C:\RaDeCC\Data\AL557_062021\050621_2blue_Blank3.txt
Start Time 6/5/2021  18:48:11
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  000.000  0000000  000.000  0000000
0001.98  000.000  0000000  000.000  0000000  000.504  0000001
0002.98  000.000  0000000  000.000  0000000  000.335  0000000
0004.00  000.000  0000000  000.000  0000000  000.250  0000000
0005.00  000.000  0000000  000.000  0000000  000.400  0000001
0005.98  000.000  0000000  000.000  0000000  000.334  0000000
0006.98  000.000  0000000  000.000  0000000  000.430  0000001
0008.00  000.000  0000000  000.000  0000000  000.500  0000001
0009.00  000.000  0000000  000.000  0000000  000.889  0000004
0010.00  000.000  0000000  000.000  0000000  000.900  0000001
0011.00  000.000  0000000  000.000  0000000  000.818  0000000
0012.00  000.000  0000000  000.000  0000000  000.833  0000001
0013.00  000.000  0000000  000.000  0000000  000.769  0000000
0014.00  000.000  0000000  000.000  0000000  000.929  0000003
0015.00  000.000  0000000  000.000  0000000  000.867  0000000
0016.00  000.000  0000000  000.000  0000000  000.875  0000001
0017.02  000.000  0000000  000.000  0000000  000.881  0000001
0018.02  000.000  0000000  000.000  0000000  000.888  0000001
0019.02  000.000  0000000  000.000  0000000  000.894  0000001
0020.02  000.000  0000000  000.000  0000000  000.949  0000002
0021.00  000.000  0000000  000.000  0000000  001.000  0000002
0022.02  000.000  0000000  000.000  0000000  000.999  0000001
0023.02  000.000  0000000  000.000  0000000  001.043  0000002
0024.02  000.000  0000000  000.000  0000000  000.999  0000000
0025.02  000.000  0000000  000.000  0000000  000.999  0000001
0026.03  000.000  0000000  000.038  0000001  001.076  0000003
0027.02  000.000  0000000  000.074  0000001  001.110  0000002
0028.02  000.000  0000000  000.071  0000000  001.142  0000002
0029.02  000.000  0000000  000.069  0000000  001.103  0000000
0030.03  000.000  0000000  000.067  0000000  001.099  0000001
0031.03  000.000  0000000  000.064  0000000  001.063  0000000
0032.02  000.000  0000000  000.062  0000000  001.093  0000002
0033.02  000.000  0000000  000.061  0000000  001.060  0000000
0034.02  000.000  0000000  000.059  0000000  001.088  0000002
0035.03  000.000  0000000  000.057  0000000  001.113  0000002
0036.03  000.000  0000000  000.056  0000000  001.138  0000002
0037.03  000.000  0000000  000.054  0000000  001.161  0000002
0038.02  000.000  0000000  000.053  0000000  001.157  0000001
0039.03  000.000  0000000  000.051  0000000  001.153  0000001
0040.03  000.000  0000000  000.050  0000000  001.174  0000002
0041.03  000.000  0000000  000.049  0000000  001.170  0000001
0042.03  000.000  0000000  000.048  0000000  001.166  0000001
0043.05  000.000  0000000  000.046  0000000  001.185  0000002
0044.03  000.000  0000000  000.045  0000000  001.158  0000000
0045.03  000.000  0000000  000.044  0000000  001.177  0000002
0046.03  000.000  0000000  000.043  0000000  001.151  0000000
0047.03  000.000  0000000  000.043  0000000  001.148  0000001
0048.05  000.000  0000000  000.042  0000000  001.186  0000003
0049.05  000.000  0000000  000.041  0000000  001.182  0000001
0050.03  000.000  0000000  000.040  0000000  001.199  0000002
0051.03  000.000  0000000  000.039  0000000  001.176  0000000
0052.05  000.000  0000000  000.038  0000000  001.153  0000000
0053.05  000.000  0000000  000.038  0000000  001.150  0000001
0054.05  000.000  0000000  000.037  0000000  001.129  0000000
0055.05  000.000  0000000  000.036  0000000  001.126  0000001
0056.05  000.000  0000000  000.036  0000000  001.106  0000000
0057.05  000.000  0000000  000.035  0000000  001.122  0000002
0058.05  000.000  0000000  000.034  0000000  001.102  0000000
0059.05  000.000  0000000  000.034  0000000  001.101  0000001
0060.05  000.000  0000000  000.033  0000000  001.082  0000000
0061.07  000.000  0000000  000.033  0000000  001.097  0000002
0062.05  000.000  0000000  000.032  0000000  001.080  0000000
0063.05  000.000  0000000  000.032  0000000  001.079  0000001
0064.05  000.000  0000000  000.031  0000000  001.077  0000001
0065.07  000.000  0000000  000.031  0000000  001.060  0000000
0066.07  000.000  0000000  000.030  0000000  001.060  0000001
0067.07  000.000  0000000  000.030  0000000  001.044  0000000
0068.05  000.000  0000000  000.029  0000000  001.058  0000002
0069.07  000.000  0000000  000.029  0000000  001.057  0000001
0070.07  000.000  0000000  000.029  0000000  001.056  0000001
0071.07  000.000  0000000  000.028  0000000  001.069  0000002
0072.07  000.000  0000000  000.028  0000000  001.055  0000000
0073.05  000.000  0000000  000.027  0000000  001.054  0000001
0074.07  000.000  0000000  000.027  0000000  001.040  0000000
0075.07  000.000  0000000  000.040  0000001  001.066  0000003
0076.07  000.000  0000000  000.039  0000000  001.052  0000000
0077.07  000.000  0000000  000.039  0000000  001.051  0000001
0078.08  000.000  0000000  000.038  0000000  001.037  0000000
0079.07  000.000  0000000  000.038  0000000  001.050  0000002
0080.07  000.000  0000000  000.037  0000000  001.037  0000000
0081.07  000.000  0000000  000.037  0000000  001.024  0000000
0082.08  000.000  0000000  000.037  0000000  001.048  0000003
0083.08  000.000  0000000  000.036  0000000  001.047  0000001
0084.08  000.000  0000000  000.036  0000000  001.082  0000004
0085.07  000.000  0000000  000.035  0000000  001.070  0000000
