C:\RaDeCC\Data\AL557_062021\050621_2green_St4.txt
Start Time 6/5/2021  11:50:51
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  001.000  0000001  002.000  0000002  006.000  0000006
0002.00  000.500  0000000  003.500  0000005  009.000  0000012
0003.00  000.333  0000000  003.333  0000003  008.667  0000008
0003.98  000.502  0000001  006.025  0000014  014.059  0000030
0005.00  000.400  0000000  006.000  0000006  014.000  0000014
0006.00  000.667  0000002  005.833  0000005  014.333  0000016
0007.00  000.857  0000002  005.429  0000003  013.857  0000011
0008.00  000.750  0000000  005.500  0000006  013.625  0000012
0009.02  000.665  0000000  005.102  0000002  012.532  0000004
0010.00  000.600  0000000  005.000  0000004  012.100  0000008
0011.00  000.545  0000000  005.091  0000006  012.364  0000015
0012.00  000.667  0000002  005.083  0000005  012.333  0000012
0013.02  000.615  0000000  004.994  0000004  012.061  0000009
0014.02  000.571  0000000  004.923  0000004  011.772  0000008
0015.00  000.667  0000002  005.133  0000008  012.467  0000022
0016.00  000.688  0000001  005.438  0000010  013.000  0000021
0017.00  000.706  0000001  005.588  0000008  013.294  0000018
0018.00  000.722  0000001  005.500  0000004  013.111  0000010
0019.02  000.684  0000000  005.416  0000004  013.041  0000012
0020.02  000.699  0000001  005.495  0000007  013.189  0000016
0021.02  000.761  0000002  005.472  0000005  013.275  0000015
0022.00  000.773  0000001  005.545  0000007  013.409  0000016
0023.02  000.739  0000000  005.648  0000008  013.555  0000017
0024.02  000.708  0000000  005.913  0000012  013.907  0000022
0025.02  000.720  0000001  005.876  0000005  013.991  0000016
0026.02  000.730  0000001  005.919  0000007  014.145  0000018
0027.02  000.777  0000002  006.033  0000009  014.324  0000019
0028.02  000.750  0000000  005.996  0000005  014.242  0000012
0029.02  000.724  0000000  006.031  0000007  014.268  0000015
0030.02  000.733  0000001  006.230  0000012  014.625  0000025
0031.03  000.838  0000004  006.090  0000002  014.565  0000013
0032.03  000.874  0000002  006.056  0000005  014.516  0000013
0033.02  000.878  0000001  006.027  0000005  014.568  0000016
