"C:\RaDeCC\Data\AL557_062021\050621_2green_blank1.txt
Start Time 6/5/2021  09:53:50
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  000.000  0000000  000.000  0000000
0002.00  000.000  0000000  000.000  0000000  000.000  0000000
0003.00  000.000  0000000  000.000  0000000  000.333  0000001
0004.00  000.000  0000000  000.000  0000000  000.250  0000000
0005.00  000.000  0000000  000.000  0000000  000.600  0000002
0006.00  000.000  0000000  000.000  0000000  000.667  0000001
0007.00  000.000  0000000  000.000  0000000  000.571  0000000
0008.00  000.000  0000000  000.000  0000000  000.500  0000000
0009.02  000.000  0000000  000.000  0000000  000.444  0000000
0010.00  000.000  0000000  000.000  0000000  000.400  0000000
0011.00  000.000  0000000  000.000  0000000  000.364  0000000
0012.00  000.000  0000000  000.000  0000000  000.333  0000000
0013.02  000.000  0000000  000.000  0000000  000.307  0000000
0014.02  000.000  0000000  000.000  0000000  000.285  0000000
0015.02  000.000  0000000  000.000  0000000  000.266  0000000
0016.02  000.000  0000000  000.000  0000000  000.250  0000000
0017.02  000.000  0000000  000.000  0000000  000.235  0000000
0018.02  000.000  0000000  000.000  0000000  000.222  0000000
0019.02  000.000  0000000  000.000  0000000  000.263  0000001
0020.02  000.000  0000000  000.000  0000000  000.300  0000001
0021.02  000.000  0000000  000.000  0000000  000.285  0000000
0022.02  000.000  0000000  000.000  0000000  000.273  0000000
0023.02  000.000  0000000  000.000  0000000  000.261  0000000
0024.02  000.000  0000000  000.000  0000000  000.250  0000000
0025.02  000.000  0000000  000.000  0000000  000.320  0000002
0026.03  000.000  0000000  000.000  0000000  000.346  0000001
0027.03  000.000  0000000  000.000  0000000  000.333  0000000
0028.02  000.000  0000000  000.000  0000000  000.321  0000000
0029.02  000.000  0000000  000.000  0000000  000.310  0000000
0030.02  000.000  0000000  000.000  0000000  000.300  0000000
0031.03  000.000  0000000  000.000  0000000  000.354  0000002
0032.03  000.000  0000000  000.000  0000000  000.375  0000001
0033.03  000.000  0000000  000.030  0000001  000.454  0000003
0034.02  000.000  0000000  000.029  0000000  000.529  0000003
0035.03  000.000  0000000  000.029  0000000  000.542  0000001
0036.03  000.000  0000000  000.028  0000000  000.527  0000000
0037.03  000.000  0000000  000.027  0000000  000.513  0000000
0038.03  000.000  0000000  000.026  0000000  000.526  0000001
0039.03  000.000  0000000  000.026  0000000  000.538  0000001
0040.03  000.000  0000000  000.025  0000000  000.525  0000000
0041.03  000.000  0000000  000.024  0000000  000.512  0000000
0042.05  000.000  0000000  000.024  0000000  000.499  0000000
0043.03  000.000  0000000  000.023  0000000  000.511  0000001
0044.03  000.000  0000000  000.023  0000000  000.500  0000000
0045.03  000.000  0000000  000.022  0000000  000.511  0000001
0046.05  000.000  0000000  000.022  0000000  000.499  0000000
0047.05  000.000  0000000  000.021  0000000  000.510  0000001
0048.05  000.000  0000000  000.021  0000000  000.499  0000000
0049.03  000.000  0000000  000.020  0000000  000.510  0000001
0050.05  000.000  0000000  000.020  0000000  000.500  0000000
0051.05  000.000  0000000  000.020  0000000  000.490  0000000
0052.05  000.000  0000000  000.019  0000000  000.480  0000000
0053.05  000.000  0000000  000.019  0000000  000.471  0000000
0054.05  000.000  0000000  000.019  0000000  000.463  0000000
0055.07  000.000  0000000  000.018  0000000  000.454  0000000
0056.07  000.000  0000000  000.018  0000000  000.446  0000000
0057.07  000.000  0000000  000.018  0000000  000.438  0000000
0058.05  000.000  0000000  000.017  0000000  000.431  0000000
0059.05  000.000  0000000  000.017  0000000  000.423  0000000
0060.07  000.000  0000000  000.017  0000000  000.450  0000002
0061.07  000.000  0000000  000.016  0000000  000.459  0000001
0062.07  000.000  0000000  000.016  0000000  000.483  0000002
0063.07  000.000  0000000  000.016  0000000  000.492  0000001
0064.07  000.000  0000000  000.016  0000000  000.499  0000001
0065.07  000.000  0000000  000.015  0000000  000.492  0000000
0066.07  000.000  0000000  000.015  0000000  000.484  0000000
0067.07  000.000  0000000  000.015  0000000  000.492  0000001
0068.07  000.000  0000000  000.015  0000000  000.514  0000002
0069.07  000.000  0000000  000.014  0000000  000.521  0000001
0070.07  000.000  0000000  000.014  0000000  000.514  0000000
0071.08  000.000  0000000  000.014  0000000  000.506  0000000
0072.08  000.000  0000000  000.014  0000000  000.499  0000000
0073.08  000.000  0000000  000.014  0000000  000.506  0000001
0074.07  000.000  0000000  000.014  0000000  000.500  0000000
0075.08  000.000  0000000  000.013  0000000  000.519  0000002
0076.08  000.000  0000000  000.013  0000000  000.513  0000000
0077.10  000.000  0000000  000.013  0000000  000.519  0000001
0078.08  000.000  0000000  000.013  0000000  000.525  0000001
"
Group 4 Stopped 6/5/2021  11:12:33
 
Count Summary
C:\ProgramData\RaDeCC\RaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0078.72  000.000  000000  000.013  000001  000.521  000041
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

