C:\RaDeCC\Data\AL557_062021\050621_2green_blank2.txt
Start Time 6/5/2021  15:06:42
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  000.000  0000000  000.000  0000000
0002.00  000.000  0000000  000.000  0000000  000.500  0000001
0003.00  000.000  0000000  000.000  0000000  001.000  0000002
0003.98  000.000  0000000  000.000  0000000  000.753  0000000
0005.00  000.000  0000000  000.000  0000000  000.800  0000001
0006.00  000.000  0000000  000.000  0000000  000.667  0000000
0007.00  000.000  0000000  000.000  0000000  000.857  0000002
0008.00  000.000  0000000  000.000  0000000  001.125  0000003
0009.02  000.000  0000000  000.000  0000000  001.109  0000001
0010.00  000.000  0000000  000.000  0000000  001.100  0000001
0011.00  000.000  0000000  000.000  0000000  001.091  0000001
0012.00  000.000  0000000  000.000  0000000  001.333  0000004
0013.02  000.000  0000000  000.000  0000000  001.229  0000000
0014.02  000.000  0000000  000.000  0000000  001.213  0000001
0015.00  000.000  0000000  000.000  0000000  001.133  0000000
0016.00  000.000  0000000  000.000  0000000  001.125  0000001
0017.00  000.000  0000000  000.000  0000000  001.118  0000001
0018.02  000.000  0000000  000.000  0000000  001.110  0000001
0019.02  000.000  0000000  000.000  0000000  001.209  0000003
0020.02  000.000  0000000  000.000  0000000  001.199  0000001
0021.00  000.000  0000000  000.000  0000000  001.286  0000003
0022.02  000.000  0000000  000.000  0000000  001.226  0000000
0023.02  000.000  0000000  000.000  0000000  001.173  0000000
0024.02  000.000  0000000  000.000  0000000  001.124  0000000
0025.02  000.000  0000000  000.000  0000000  001.079  0000000
0026.03  000.000  0000000  000.000  0000000  001.114  0000002
0027.02  000.000  0000000  000.000  0000000  001.110  0000001
0028.02  000.000  0000000  000.000  0000000  001.071  0000000
0029.02  000.000  0000000  000.000  0000000  001.137  0000003
0030.02  000.000  0000000  000.000  0000000  001.099  0000000
0031.03  000.000  0000000  000.000  0000000  001.128  0000002
0032.03  000.000  0000000  000.000  0000000  001.093  0000000
0033.02  000.000  0000000  000.000  0000000  001.090  0000001
0034.02  000.000  0000000  000.000  0000000  001.058  0000000
0035.03  000.000  0000000  000.000  0000000  001.142  0000004
0036.03  000.000  0000000  000.000  0000000  001.166  0000002
0037.03  000.000  0000000  000.000  0000000  001.134  0000000
0038.03  000.000  0000000  000.000  0000000  001.104  0000000
0039.03  000.000  0000000  000.000  0000000  001.102  0000001
0040.03  000.000  0000000  000.000  0000000  001.124  0000002
0041.03  000.000  0000000  000.000  0000000  001.097  0000000
0042.03  000.000  0000000  000.000  0000000  001.094  0000001
0043.03  000.000  0000000  000.000  0000000  001.069  0000000
0044.05  000.000  0000000  000.000  0000000  001.090  0000002
0045.03  000.000  0000000  000.000  0000000  001.066  0000000
0046.03  000.000  0000000  000.000  0000000  001.086  0000002
0047.03  000.000  0000000  000.000  0000000  001.106  0000002
0048.05  000.000  0000000  000.000  0000000  001.103  0000001
0049.05  000.000  0000000  000.000  0000000  001.081  0000000
0050.05  000.000  0000000  000.000  0000000  001.059  0000000
0051.03  000.000  0000000  000.000  0000000  001.097  0000003
0052.05  000.000  0000000  000.000  0000000  001.114  0000002
0053.05  000.000  0000000  000.000  0000000  001.112  0000001
0054.05  000.000  0000000  000.000  0000000  001.092  0000000
0055.05  000.000  0000000  000.000  0000000  001.072  0000000
0056.05  000.000  0000000  000.000  0000000  001.088  0000002
0057.05  000.000  0000000  000.000  0000000  001.104  0000002
0058.05  000.000  0000000  000.000  0000000  001.120  0000002
0059.05  000.000  0000000  000.000  0000000  001.101  0000000
0060.05  000.000  0000000  000.017  0000001  001.149  0000004
0061.07  000.000  0000000  000.016  0000000  001.130  0000000
0062.07  000.000  0000000  000.016  0000000  001.128  0000001
0063.05  000.000  0000000  000.016  0000000  001.126  0000001
0064.05  000.000  0000000  000.016  0000000  001.124  0000001
0065.07  000.000  0000000  000.015  0000000  001.153  0000003
0066.07  000.000  0000000  000.015  0000000  001.150  0000001
0067.07  000.000  0000000  000.015  0000000  001.148  0000001
0068.05  000.000  0000000  000.015  0000000  001.146  0000001
0069.05  000.000  0000000  000.014  0000000  001.144  0000001
0070.07  000.000  0000000  000.014  0000000  001.170  0000003
0071.07  000.000  0000000  000.014  0000000  001.168  0000001
0072.07  000.000  0000000  000.014  0000000  001.179  0000002
0073.07  000.000  0000000  000.014  0000000  001.177  0000001
0074.07  000.000  0000000  000.014  0000000  001.188  0000002
0075.07  000.000  0000000  000.013  0000000  001.186  0000001
0076.07  000.000  0000000  000.013  0000000  001.196  0000002
0077.07  000.000  0000000  000.013  0000000  001.233  0000004
Group 4 Stopped 6/5/2021  16:24:25
 
Count Summary
C:RaDeCC\DataRaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0077.72  000.000  000000  000.013  000001  001.248  000097
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

