C:\RaDeCC\Data\AL557_062021\050621_blue_st8.txt
Start Time 6/5/2021  20:48:28
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  002.000  0000002  010.000  0000010
0002.00  000.000  0000000  003.000  0000004  010.500  0000011
0003.00  000.333  0000001  003.667  0000005  011.000  0000012
0004.00  000.250  0000000  003.250  0000002  009.750  0000006
0004.98  000.401  0000001  003.211  0000003  009.833  0000010
0006.00  000.333  0000000  004.167  0000009  011.000  0000017
0007.00  000.286  0000000  004.143  0000004  010.714  0000009
0008.00  000.250  0000000  004.000  0000003  010.125  0000006
0008.98  000.223  0000000  003.562  0000000  009.017  0000000
0010.00  000.200  0000000  003.300  0000001  008.400  0000003
0011.00  000.182  0000000  003.364  0000004  008.545  0000010
0012.00  000.250  0000001  003.417  0000004  008.750  0000011
0013.02  000.230  0000000  003.303  0000002  008.604  0000007
0014.00  000.214  0000000  003.286  0000003  008.500  0000007
0015.00  000.267  0000001  003.067  0000000  008.400  0000007
0016.00  000.250  0000000  003.125  0000004  008.438  0000009
0017.02  000.235  0000000  003.056  0000002  008.345  0000007
0018.02  000.278  0000001  003.053  0000003  008.381  0000009
0019.02  000.263  0000000  002.945  0000001  008.151  0000004
0020.00  000.250  0000000  002.900  0000002  008.250  0000010
0021.00  000.238  0000000  002.952  0000004  008.286  0000009
0022.02  000.227  0000000  002.907  0000002  008.312  0000009
0023.00  000.217  0000000  002.957  0000004  008.391  0000010
0024.02  000.250  0000001  002.915  0000002  008.369  0000008
0025.02  000.240  0000000  002.878  0000002  008.195  0000004
0026.02  000.269  0000001  002.844  0000002  008.225  0000009
0027.02  000.259  0000000  002.924  0000005  008.328  0000011
0028.03  000.250  0000000  002.925  0000003  008.347  0000009
0029.02  000.241  0000000  002.895  0000002  008.374  0000009
0030.02  000.233  0000000  002.965  0000005  008.529  0000013
0031.02  000.226  0000000  002.902  0000001  008.383  0000004
0032.02  000.219  0000000  002.874  0000002  008.339  0000007
0033.03  000.212  0000000  002.906  0000004  008.355  0000009
0034.03  000.235  0000001  002.938  0000004  008.433  0000011
0035.02  000.257  0000001  002.913  0000002  008.425  0000008
0036.02  000.278  0000001  002.832  0000000  008.413  0000008
0037.03  000.270  0000000  002.862  0000004  008.425  0000009
0038.03  000.263  0000000  002.866  0000003  008.440  0000009
0039.03  000.256  0000000  002.869  0000003  008.403  0000007
0040.03  000.250  0000000  002.798  0000000  008.218  0000001
0041.03  000.244  0000000  002.851  0000005  008.262  0000010
0042.03  000.238  0000000  002.879  0000004  008.279  0000009
0043.03  000.256  0000001  002.858  0000002  008.249  0000007
0044.03  000.250  0000000  002.861  0000003  008.244  0000008
0045.03  000.244  0000000  002.820  0000001  008.150  0000004
0046.03  000.239  0000000  002.824  0000003  008.125  0000007
0047.03  000.255  0000001  002.828  0000003  008.207  0000012
0048.03  000.250  0000000  002.852  0000004  008.182  0000007
0049.03  000.265  0000001  002.876  0000004  008.239  0000011
0050.05  000.260  0000000  002.897  0000004  008.252  0000009
0051.05  000.255  0000000  002.840  0000000  008.129  0000002
0052.03  000.269  0000001  002.806  0000001  008.091  0000006
0053.03  000.283  0000001  002.791  0000002  008.127  0000010
0054.05  000.278  0000000  002.775  0000002  008.122  0000008
0055.05  000.272  0000000  002.725  0000000  008.065  0000005
0056.05  000.268  0000000  002.712  0000002  008.046  0000007
0057.05  000.263  0000000  002.699  0000002  008.063  0000009
0058.03  000.276  0000001  002.740  0000005  008.116  0000011
0059.05  000.305  0000002  002.743  0000003  008.180  0000012
0060.05  000.300  0000000  002.764  0000004  008.210  0000010
0061.05  000.295  0000000  002.752  0000002  008.206  0000008
0062.05  000.290  0000000  002.740  0000002  008.171  0000006
0063.07  000.285  0000000  002.711  0000001  008.103  0000004
0064.05  000.281  0000000  002.685  0000001  008.119  0000009
0065.05  000.277  0000000  002.690  0000003  008.148  0000010
0066.05  000.273  0000000  002.680  0000002  008.176  0000010
