"C:\RaDeCC\Data\AL557_062021\050621_greent4cont.txt
Start Time 6/5/2021  12:47:54
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  005.000  0000005  011.000  0000011
0001.98  001.008  0000002  004.538  0000004  012.605  0000014
0002.98  000.670  0000000  007.709  0000014  017.095  0000026
0003.98  000.753  0000001  007.280  0000006  016.318  0000014
0005.00  000.600  0000000  007.600  0000009  016.600  0000018
0006.00  000.667  0000001  007.333  0000006  016.333  0000015
0007.00  000.714  0000001  007.286  0000007  016.429  0000017
0007.98  000.752  0000001  007.015  0000005  016.284  0000015
0009.00  000.667  0000000  007.000  0000007  016.222  0000016
"
0011.00  000.636  0000000  006.636  0000001  015.636  0000004
0012.00  000.583  0000000  006.667  0000007  015.833  0000018
0012.98  000.616  0000001  006.932  0000010  016.406  0000023
0014.00  000.571  0000000  007.143  0000010  016.643  0000020
0015.00  000.533  0000000  007.267  0000009  016.800  0000019
0016.00  000.500  0000000  007.188  0000006  016.625  0000014
0017.00  000.471  0000000  006.941  0000003  016.118  0000008
0018.00  000.500  0000001  006.778  0000004  016.056  0000015
0019.02  000.526  0000001  006.836  0000008  016.091  0000017
0020.02  000.550  0000001  006.894  0000008  016.236  0000019
0021.00  000.524  0000000  006.667  0000002  015.810  0000007
0022.00  000.545  0000001  006.636  0000006  015.727  0000014
0023.02  000.565  0000001  006.474  0000003  015.467  0000010
0024.02  000.625  0000002  006.662  0000011  015.947  0000027
0025.02  000.600  0000000  006.476  0000002  015.510  0000005
0026.00  000.577  0000000  006.577  0000009  015.731  0000021
0027.00  000.593  0000001  006.630  0000008  015.815  0000018
0028.02  000.607  0000001  006.710  0000009  015.919  0000019
0029.02  000.586  0000000  006.582  0000003  015.646  0000008
0030.02  000.566  0000000  006.496  0000004  015.458  0000010
0031.02  000.548  0000000  006.416  0000004  015.282  0000010
0032.02  000.531  0000000  006.465  0000008  015.367  0000018
0033.02  000.515  0000000  006.572  0000010  015.598  0000023
0034.02  000.500  0000000  006.438  0000002  015.375  0000008
0035.02  000.514  0000001  006.397  0000005  015.336  0000014
0036.02  000.528  0000001  006.275  0000002  015.132  0000008
0037.03  000.513  0000000  006.292  0000007  015.203  0000018
0038.03  000.526  0000001  006.231  0000004  015.066  0000010
0039.02  000.538  0000001  006.151  0000003  015.019  0000013
0040.02  000.525  0000000  006.097  0000004  014.869  0000009
0041.02  000.536  0000001  006.095  0000006  014.823  0000013
0042.03  000.547  0000001  006.138  0000008  014.917  0000019
0043.03  000.534  0000000  006.065  0000003  014.802  0000010
0044.03  000.568  0000002  006.018  0000004  014.784  0000014
0045.02  000.555  0000000  006.087  0000009  014.928  0000021
0046.03  000.565  0000001  006.126  0000008  014.989  0000018
0047.03  000.553  0000000  006.123  0000006  014.968  0000014
0048.03  000.541  0000000  006.121  0000006  014.885  0000011
0049.03  000.571  0000002  006.098  0000005  014.908  0000016
0050.05  000.559  0000000  006.194  0000011  015.065  0000023
0051.03  000.568  0000001  006.192  0000006  015.088  0000016
0052.03  000.577  0000001  006.400  0000017  015.336  0000028
0053.03  000.566  0000000  006.373  0000005  015.255  0000011
0054.03  000.574  0000001  006.348  0000005  015.268  0000016
0055.05  000.581  0000001  006.303  0000004  015.186  0000011
0056.05  000.571  0000000  006.262  0000004  015.147  0000013
0057.03  000.561  0000000  006.242  0000005  015.096  0000012
0058.03  000.551  0000000  006.324  0000011  015.215  0000022
0059.05  000.593  0000003  006.435  0000013  015.461  0000030
0060.05  000.583  0000000  006.445  0000007  015.437  0000014
0061.05  000.573  0000000  006.519  0000011  015.512  0000020
0062.05  000.564  0000000  006.479  0000004  015.423  0000010
0063.05  000.555  0000000  006.455  0000005  015.385  0000013
0064.05  000.562  0000001  006.464  0000007  015.425  0000018
0065.05  000.584  0000002  006.457  0000006  015.450  0000017
0066.05  000.575  0000000  006.419  0000004  015.382  0000011
0067.05  000.582  0000001  006.413  0000006  015.421  0000018
0068.07  000.573  0000000  006.376  0000004  015.323  0000009
0069.05  000.565  0000000  006.401  0000008  015.337  0000016
0070.05  000.571  0000001  006.410  0000007  015.375  0000018
0071.05  000.563  0000000  006.460  0000010  015.454  0000021
Group 4 Stopped 6/5/2021  13:59:13
 
Count Summary
C:RaDeCC\DataRaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0071.32  000.575  000041  006.450  000460  015.452  001102
System Number 4
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

