C:\RaDeCC\Data\AL557_062021\050621_grey_st10.txt
Start Time 6/5/2021  21:10:26
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  001.017  0000001  004.068  0000004  012.203  0000012
0001.98  000.504  0000000  003.529  0000003  009.580  0000007
0002.98  000.670  0000001  003.687  0000004  009.721  0000010
0003.98  000.502  0000000  003.013  0000001  008.285  0000004
0005.00  000.400  0000000  002.600  0000001  008.000  0000007
0005.98  000.501  0000001  002.674  0000003  008.189  0000009
0006.98  000.430  0000000  002.721  0000003  008.305  0000009
0007.98  000.376  0000000  002.756  0000003  008.267  0000008
0009.00  000.333  0000000  002.667  0000002  008.222  0000008
0010.00  000.500  0000002  003.500  0000011  009.500  0000021
0011.00  000.455  0000000  003.545  0000004  009.545  0000010
0011.98  000.584  0000002  003.755  0000006  009.930  0000014
0013.00  000.538  0000000  003.462  0000000  009.231  0000001
0014.00  000.500  0000000  003.500  0000004  009.357  0000011
0015.00  000.467  0000000  003.267  0000000  008.933  0000003
0016.00  000.563  0000002  003.250  0000003  009.063  0000011
0017.00  000.588  0000001  003.118  0000001  009.000  0000008
0018.00  000.556  0000000  003.056  0000002  008.722  0000004
0019.00  000.526  0000000  003.000  0000002  008.579  0000006
0020.00  000.550  0000001  003.050  0000004  008.850  0000014
0021.00  000.571  0000001  002.952  0000001  008.667  0000005
0022.02  000.545  0000000  003.089  0000006  008.812  0000012
0023.02  000.565  0000001  002.954  0000000  008.646  0000005
0024.00  000.542  0000000  003.000  0000004  008.792  0000012
0025.00  000.520  0000000  003.000  0000003  008.760  0000008
0026.02  000.500  0000000  002.921  0000001  008.687  0000007
0027.02  000.518  0000001  002.961  0000004  008.846  0000013
0028.02  000.500  0000000  002.927  0000002  008.709  0000005
0029.02  000.482  0000000  002.998  0000005  008.857  0000013
0030.00  000.467  0000000  002.933  0000001  008.667  0000003
0031.02  000.451  0000000  002.869  0000001  008.479  0000003
0032.02  000.437  0000000  002.874  0000003  008.433  0000007
0033.02  000.454  0000001  002.877  0000003  008.450  0000009
0034.02  000.441  0000000  002.822  0000001  008.378  0000006
0035.03  000.428  0000000  002.740  0000000  008.221  0000003
0036.02  000.444  0000001  002.832  0000006  008.385  0000014
0037.02  000.432  0000000  002.864  0000004  008.402  0000009
0038.02  000.421  0000000  002.867  0000003  008.391  0000008
0039.03  000.410  0000000  002.818  0000001  008.352  0000007
0040.03  000.400  0000000  002.873  0000005  008.443  0000012
0041.03  000.390  0000000  002.851  0000002  008.335  0000004
0042.02  000.428  0000002  002.832  0000002  008.425  0000012
0043.02  000.418  0000000  002.790  0000001  008.369  0000006
0044.03  000.409  0000000  002.771  0000002  008.312  0000006
0045.03  000.422  0000001  002.798  0000004  008.349  0000010
0046.03  000.413  0000000  002.802  0000003  008.320  0000007
0047.03  000.404  0000000  002.870  0000006  008.441  0000014
0048.02  000.396  0000000  002.874  0000003  008.455  0000009
0049.03  000.387  0000000  002.835  0000001  008.341  0000003
0050.03  000.380  0000000  002.838  0000003  008.334  0000008
0051.03  000.372  0000000  002.841  0000003  008.328  0000008
0052.03  000.384  0000001  002.806  0000001  008.398  0000012
0053.05  000.377  0000000  002.771  0000001  008.332  0000005
0054.03  000.389  0000001  002.832  0000006  008.513  0000018
0055.03  000.400  0000001  002.816  0000002  008.504  0000008
0056.03  000.428  0000002  002.855  0000005  008.656  0000017
0057.05  000.421  0000000  002.840  0000002  008.589  0000005
0058.05  000.431  0000001  002.808  0000001  008.510  0000004
0059.05  000.423  0000000  002.777  0000001  008.434  0000004
0060.03  000.433  0000001  002.748  0000001  008.412  0000007
0061.03  000.442  0000001  002.736  0000002  008.389  0000007
0062.05  000.451  0000001  002.756  0000004  008.445  0000012
0063.05  000.444  0000000  002.728  0000001  008.358  0000003
0064.05  000.437  0000000  002.748  0000004  008.353  0000008
0065.05  000.430  0000000  002.813  0000007  008.486  0000017
0066.05  000.439  0000001  002.801  0000002  008.478  0000008
0067.07  000.432  0000000  002.758  0000000  008.365  0000001
0068.05  000.426  0000000  002.733  0000001  008.303  0000004
0069.05  000.420  0000000  002.752  0000004  008.342  0000011
0070.07  000.414  0000000  002.783  0000005  008.392  0000012
0071.07  000.408  0000000  002.786  0000003  008.372  0000007
0072.05  000.402  0000000  002.804  0000004  008.411  0000011
0073.05  000.397  0000000  002.806  0000003  008.405  0000008
0074.05  000.392  0000000  002.768  0000000  008.319  0000002
0075.07  000.386  0000000  002.744  0000001  008.273  0000005
0076.07  000.394  0000001  002.761  0000004  008.335  0000013
0077.07  000.389  0000000  002.738  0000001  008.292  0000005
0078.05  000.384  0000000  002.729  0000002  008.277  0000007
0079.07  000.392  0000001  002.707  0000001  008.246  0000006
0080.07  000.400  0000001  002.710  0000003  008.306  0000013
0081.07  000.395  0000000  002.701  0000002  008.277  0000006
0082.07  000.390  0000000  002.693  0000002  008.274  0000008
0083.08  000.397  0000001  002.768  0000009  008.365  0000016
0084.07  000.393  0000000  002.772  0000003  008.374  0000009
0085.07  000.400  0000001  002.786  0000004  008.405  0000011
0086.07  000.407  0000001  002.812  0000005  008.459  0000013
0087.08  000.402  0000000  002.825  0000004  008.463  0000009
0088.07  000.397  0000000  002.793  0000000  008.380  0000001
0089.07  000.404  0000001  002.807  0000004  008.409  0000011
0090.07  000.433  0000003  002.798  0000002  008.449  0000012
0091.08  000.428  0000000  002.800  0000003  008.454  0000009
0092.08  000.434  0000001  002.856  0000008  008.547  0000017
0093.08  000.451  0000002  002.847  0000002  008.551  0000009
0094.08  000.446  0000000  002.870  0000005  008.599  0000013
0095.08  000.442  0000000  002.850  0000001  008.550  0000004
0096.08  000.437  0000000  002.852  0000003  008.576  0000011
0097.07  000.433  0000000  002.833  0000001  008.530  0000004
0098.08  000.428  0000000  002.824  0000002  008.493  0000005
0099.08  000.424  0000000  002.826  0000003  008.478  0000007
0100.08  000.430  0000001  002.878  0000008  008.533  0000014
0101.08  000.445  0000002  002.938  0000009  008.656  0000021
0102.10  000.441  0000000  002.929  0000002  008.619  0000005
0103.08  000.437  0000000  002.949  0000005  008.614  0000008
0104.08  000.432  0000000  002.950  0000003  008.608  0000008
0105.08  000.428  0000000  002.950  0000003  008.612  0000009
0106.10  000.443  0000002  002.950  0000003  008.643  0000012
0107.10  000.439  0000000  002.923  0000000  008.627  0000007
0108.10  000.435  0000000  002.923  0000003  008.640  0000010
0109.08  000.431  0000000  002.952  0000006  008.672  0000012
0110.08  000.427  0000000  002.952  0000003  008.675  0000009
0111.10  000.423  0000000  002.934  0000001  008.659  0000007
