C:\RaDeCC\Data\AL557_062021\050621_st6grey_.txt
Start Time 6/5/2021  14:55:53
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  002.000  0000002  006.000  0000006
0002.00  000.000  0000000  001.000  0000000  003.000  0000000
0003.00  000.000  0000000  001.000  0000001  002.667  0000002
0003.98  000.000  0000000  001.255  0000002  003.766  0000007
0004.98  000.000  0000000  001.605  0000003  004.415  0000007
0006.00  000.000  0000000  002.167  0000005  005.333  0000010
0007.00  000.000  0000000  002.571  0000005  005.571  0000007
0008.00  000.000  0000000  002.500  0000002  005.500  0000005
0009.00  000.111  0000001  002.778  0000005  006.444  0000014
0010.00  000.200  0000001  002.700  0000002  006.700  0000009
0011.00  000.182  0000000  002.545  0000001  006.455  0000004
0012.00  000.333  0000002  002.417  0000001  006.417  0000006
0013.00  000.385  0000001  002.385  0000002  006.615  0000009
0014.02  000.357  0000000  002.283  0000001  006.706  0000008
0015.02  000.400  0000001  002.131  0000000  006.659  0000006
0016.00  000.375  0000000  002.063  0000001  006.438  0000003
0017.00  000.353  0000000  002.000  0000001  006.412  0000006
0018.00  000.333  0000000  002.000  0000002  006.333  0000005
0019.02  000.368  0000001  002.103  0000004  006.363  0000007
0020.02  000.350  0000000  002.048  0000001  006.145  0000002
0021.00  000.333  0000000  001.952  0000000  005.905  0000001
0022.00  000.364  0000001  002.091  0000005  006.227  0000013
0023.02  000.348  0000000  002.085  0000002  006.083  0000003
0024.02  000.333  0000000  002.207  0000005  006.287  0000011
0025.02  000.320  0000000  002.119  0000000  006.196  0000004
0026.02  000.307  0000000  002.152  0000003  006.342  0000010
0027.00  000.296  0000000  002.074  0000000  006.185  0000002
0028.02  000.286  0000000  002.035  0000001  006.068  0000003
0029.02  000.276  0000000  001.999  0000001  006.065  0000006
0030.02  000.300  0000001  001.966  0000001  006.063  0000006
0031.02  000.290  0000000  001.934  0000001  005.965  0000003
0032.03  000.281  0000000  001.967  0000003  005.963  0000006
0033.02  000.273  0000000  001.999  0000003  006.148  0000012
0034.02  000.294  0000001  001.999  0000002  006.144  0000006
0035.02  000.286  0000000  001.970  0000001  006.054  0000003
0036.03  000.278  0000000  001.970  0000002  006.050  0000006
0037.03  000.270  0000000  001.998  0000003  006.130  0000009
0038.03  000.263  0000000  001.972  0000001  006.126  0000006
0039.02  000.256  0000000  002.025  0000004  006.202  0000009
0040.02  000.275  0000001  001.999  0000001  006.247  0000008
0041.03  000.268  0000000  001.998  0000002  006.214  0000005
0042.03  000.262  0000000  001.975  0000001  006.114  0000002
0043.03  000.256  0000000  001.952  0000001  006.019  0000002
0044.03  000.250  0000000  001.930  0000001  005.950  0000003
0045.03  000.244  0000000  001.932  0000002  005.929  0000005
0046.03  000.261  0000001  001.933  0000002  005.952  0000007
0047.03  000.255  0000000  001.935  0000002  005.932  0000005
0048.03  000.250  0000000  001.936  0000002  005.954  0000007
0049.05  000.245  0000000  001.916  0000001  005.912  0000004
0050.05  000.260  0000001  001.898  0000001  005.914  0000006
0051.03  000.274  0000001  001.920  0000003  005.996  0000010
0052.03  000.269  0000000  001.903  0000001  005.939  0000003
0053.03  000.264  0000000  001.904  0000002  005.921  0000005
0054.05  000.259  0000000  001.943  0000004  006.013  0000011
0055.05  000.272  0000001  001.944  0000002  006.067  0000009
0056.05  000.268  0000000  001.927  0000001  006.084  0000007
0057.03  000.316  0000003  001.911  0000001  006.154  0000010
0058.05  000.310  0000000  001.912  0000002  006.150  0000006
0059.05  000.322  0000001  001.914  0000002  006.164  0000007
0060.05  000.333  0000001  001.898  0000001  006.145  0000005
0061.05  000.328  0000000  001.949  0000005  006.208  0000010
0062.07  000.338  0000001  001.950  0000002  006.203  0000006
0063.05  000.333  0000000  001.951  0000002  006.170  0000004
0064.05  000.328  0000000  001.952  0000002  006.136  0000004
0065.05  000.323  0000000  001.952  0000002  006.118  0000005
0066.05  000.333  0000001  002.014  0000006  006.238  0000014
0067.07  000.343  0000001  001.998  0000001  006.262  0000008
0068.07  000.338  0000000  002.013  0000003  006.259  0000006
0069.05  000.333  0000000  001.999  0000001  006.242  0000005
0070.05  000.328  0000000  001.970  0000000  006.196  0000003
0071.07  000.324  0000000  001.942  0000000  006.121  0000001
0072.07  000.319  0000000  001.929  0000001  006.078  0000003
0073.07  000.315  0000000  001.916  0000001  006.063  0000005
0074.05  000.311  0000000  001.918  0000002  006.063  0000006
