C:\RaDeCC\Data\AL557_062021\130621_blue_St4_2.txt
Start Time 6/13/2021  16:38:19
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  001.000  0000001  002.000  0000002
0002.00  000.000  0000000  000.500  0000000  001.000  0000000
0003.00  000.000  0000000  000.667  0000001  001.333  0000002
0004.00  000.000  0000000  001.000  0000002  002.250  0000005
0005.00  000.000  0000000  001.200  0000002  002.800  0000005
0006.00  000.000  0000000  001.000  0000000  002.333  0000000
0007.02  000.000  0000000  000.855  0000000  001.995  0000000
0008.00  000.000  0000000  000.875  0000001  002.125  0000003
0009.00  000.000  0000000  000.778  0000000  001.889  0000000
0010.00  000.000  0000000  000.800  0000001  002.000  0000003
0011.00  000.000  0000000  000.727  0000000  002.000  0000002
0012.02  000.000  0000000  000.832  0000002  002.330  0000006
0013.02  000.000  0000000  000.768  0000000  002.151  0000000
0014.00  000.071  0000001  000.786  0000001  002.286  0000004
0015.00  000.067  0000000  000.800  0000001  002.400  0000004
0016.02  000.062  0000000  000.749  0000000  002.248  0000000
0017.02  000.059  0000000  000.823  0000002  002.351  0000004
0018.02  000.056  0000000  000.888  0000002  002.498  0000005
0019.02  000.053  0000000  000.841  0000000  002.419  0000001
0020.02  000.100  0000001  000.949  0000003  002.748  0000009
0021.02  000.190  0000002  000.952  0000001  002.998  0000008
0022.02  000.227  0000001  000.908  0000000  003.043  0000004
0023.02  000.217  0000000  000.912  0000001  002.998  0000002
0024.02  000.208  0000000  000.916  0000001  002.956  0000002
0025.03  000.240  0000001  000.879  0000000  002.956  0000003
0026.02  000.231  0000000  000.846  0000000  002.844  0000000
0027.02  000.259  0000001  000.851  0000001  002.887  0000004
0028.02  000.250  0000000  000.821  0000000  002.784  0000000
0029.03  000.310  0000002  000.896  0000003  003.065  0000011
0030.03  000.300  0000000  000.932  0000002  003.097  0000004
0031.03  000.290  0000000  000.934  0000001  003.093  0000003
0032.03  000.281  0000000  000.905  0000000  003.091  0000003
0033.05  000.272  0000000  000.908  0000001  003.086  0000003
0034.03  000.294  0000001  000.970  0000003  003.262  0000009
0035.03  000.285  0000000  000.999  0000002  003.311  0000005
0036.03  000.278  0000000  000.999  0000001  003.275  0000002
0037.05  000.270  0000000  001.026  0000002  003.347  0000006
0038.05  000.263  0000000  000.999  0000000  003.311  0000002
0039.05  000.256  0000000  001.050  0000003  003.431  0000008
0040.03  000.250  0000000  001.049  0000001  003.447  0000004
0041.05  000.244  0000000  001.096  0000003  003.557  0000008
0042.05  000.238  0000000  001.118  0000002  003.615  0000006
0043.05  000.232  0000000  001.115  0000001  003.624  0000004
0044.05  000.227  0000000  001.090  0000000  003.564  0000001
0045.05  000.222  0000000  001.088  0000001  003.552  0000003
0046.05  000.217  0000000  001.151  0000004  003.648  0000008
0047.05  000.234  0000001  001.169  0000002  003.719  0000007
0048.05  000.250  0000001  001.249  0000005  003.892  0000012
0049.05  000.245  0000000  001.244  0000001  003.853  0000002
0050.07  000.260  0000001  001.238  0000001  003.855  0000004
0051.05  000.274  0000001  001.254  0000002  003.918  0000007
0052.05  000.269  0000000  001.268  0000002  003.958  0000006
0053.05  000.264  0000000  001.244  0000000  003.940  0000003
0054.07  000.277  0000001  001.221  0000000  003.940  0000004
0055.07  000.272  0000000  001.235  0000002  003.959  0000005
0056.07  000.303  0000002  001.249  0000002  004.031  0000008
0057.07  000.298  0000000  001.227  0000000  003.960  0000000
0058.07  000.293  0000000  001.240  0000002  003.978  0000005
0059.08  000.288  0000000  001.252  0000002  004.028  0000007
0060.07  000.283  0000000  001.249  0000001  004.012  0000003
0061.07  000.278  0000000  001.228  0000000  003.963  0000001
0062.07  000.274  0000000  001.305  0000006  004.076  0000011
0063.07  000.285  0000001  001.316  0000002  004.123  0000007
0064.08  000.281  0000000  001.311  0000001  004.104  0000003
0065.08  000.277  0000000  001.306  0000001  004.087  0000003
0066.07  000.272  0000000  001.287  0000000  004.057  0000002
0067.07  000.268  0000000  001.297  0000002  004.085  0000006
0068.08  000.279  0000001  001.337  0000004  004.201  0000012
0069.08  000.275  0000000  001.317  0000000  004.140  0000000
0070.08  000.271  0000000  001.313  0000001  004.124  0000003
0071.08  000.267  0000000  001.308  0000001  004.094  0000002
0072.08  000.291  0000002  001.304  0000001  004.162  0000009
0073.08  000.287  0000000  001.314  0000002  004.173  0000005
0074.08  000.283  0000000  001.296  0000000  004.157  0000003
0075.08  000.280  0000000  001.319  0000003  004.209  0000008
0076.08  000.276  0000000  001.341  0000003  004.272  0000009
0077.10  000.272  0000000  001.375  0000004  004.319  0000008
0078.08  000.269  0000000  001.370  0000001  004.342  0000006
0079.08  000.278  0000001  001.353  0000000  004.312  0000002
0080.08  000.275  0000000  001.361  0000002  004.308  0000004
0081.10  000.271  0000000  001.356  0000001  004.303  0000004
0082.10  000.268  0000000  001.376  0000003  004.348  0000008
0083.10  000.265  0000000  001.372  0000001  004.320  0000002
0084.08  000.262  0000000  001.356  0000000  004.329  0000005
0085.10  000.259  0000000  001.363  0000002  004.324  0000004
0086.10  000.267  0000001  001.347  0000000  004.321  0000004
0087.10  000.264  0000000  001.355  0000002  004.317  0000004
0088.10  000.272  0000001  001.362  0000002  004.336  0000006
0089.08  000.269  0000000  001.347  0000000  004.299  0000001
0090.10  000.266  0000000  001.365  0000003  004.317  0000006
0091.10  000.263  0000000  001.372  0000002  004.336  0000006
0092.10  000.271  0000001  001.368  0000001  004.354  0000006
0093.10  000.269  0000000  001.375  0000002  004.350  0000004
0094.12  000.266  0000000  001.381  0000002  004.367  0000006
0095.10  000.284  0000002  001.388  0000002  004.406  0000008
0096.10  000.281  0000000  001.394  0000002  004.412  0000005
0097.10  000.278  0000000  001.390  0000001  004.387  0000002
0098.12  000.296  0000002  001.386  0000001  004.423  0000008
0099.12  000.293  0000000  001.382  0000001  004.429  0000005
0100.12  000.300  0000001  001.398  0000003  004.485  0000010
0101.10  000.297  0000000  001.405  0000002  004.520  0000008
0102.10  000.294  0000000  001.391  0000000  004.505  0000003
0103.12  000.301  0000001  001.387  0000001  004.519  0000006
0104.12  000.298  0000000  001.383  0000001  004.505  0000003
0105.12  000.295  0000000  001.379  0000001  004.481  0000002
0106.12  000.292  0000000  001.366  0000000  004.467  0000003
0107.12  000.289  0000000  001.382  0000003  004.490  0000007
0108.12  000.287  0000000  001.387  0000002  004.514  0000007
0109.12  000.284  0000000  001.411  0000004  004.555  0000009
0110.12  000.282  0000000  001.426  0000003  004.577  0000007
0111.12  000.288  0000001  001.431  0000002  004.599  0000007
0112.12  000.285  0000000  001.436  0000002  004.593  0000004
0113.13  000.283  0000000  001.441  0000002  004.579  0000003
0114.13  000.280  0000000  001.437  0000001  004.565  0000003
0115.12  000.287  0000001  001.433  0000001  004.561  0000004
0116.12  000.293  0000001  001.430  0000001  004.564  0000005
0117.13  000.290  0000000  001.417  0000000  004.550  0000003
0118.13  000.288  0000000  001.422  0000002  004.580  0000008
0119.13  000.285  0000000  001.427  0000002  004.583  0000005
0120.13  000.291  0000001  001.415  0000000  004.578  0000004
0121.12  000.289  0000000  001.404  0000000  004.549  0000001
0122.13  000.287  0000000  001.400  0000001  004.552  0000005
0123.13  000.284  0000000  001.389  0000000  004.524  0000001
0124.13  000.282  0000000  001.378  0000000  004.487  0000000
0125.13  000.280  0000000  001.383  0000002  004.491  0000005
0126.13  000.277  0000000  001.372  0000000  004.464  0000001
0127.13  000.275  0000000  001.369  0000001  004.444  0000002
0128.15  000.273  0000000  001.358  0000000  004.425  0000002
0129.15  000.271  0000000  001.370  0000003  004.444  0000007
0130.13  000.269  0000000  001.368  0000001  004.442  0000004
0131.13  000.275  0000001  001.365  0000001  004.446  0000005
0132.13  000.272  0000000  001.370  0000002  004.465  0000007
0133.15  000.270  0000000  001.367  0000001  004.469  0000005
0134.15  000.268  0000000  001.357  0000000  004.465  0000004
0135.15  000.266  0000000  001.376  0000004  004.499  0000009
