C:\RaDeCC\Data\AL557_062021\130621_blue_St5_2_blank.txt
Start Time 6/13/2021  21:58:14
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  000.000  0000000  001.000  0000001
0002.00  000.000  0000000  000.000  0000000  000.500  0000000
0003.00  000.000  0000000  000.000  0000000  000.333  0000000
0003.98  000.000  0000000  000.000  0000000  000.502  0000001
0005.00  000.000  0000000  000.000  0000000  000.800  0000002
0006.00  000.000  0000000  000.000  0000000  001.000  0000002
0007.00  000.000  0000000  000.000  0000000  000.857  0000000
0008.00  000.000  0000000  000.000  0000000  000.750  0000000
0009.00  000.000  0000000  000.000  0000000  000.778  0000001
0010.00  000.000  0000000  000.000  0000000  000.700  0000000
0011.00  000.000  0000000  000.000  0000000  000.727  0000001
0012.00  000.000  0000000  000.000  0000000  000.750  0000001
0013.00  000.000  0000000  000.000  0000000  000.846  0000002
0014.02  000.000  0000000  000.000  0000000  000.856  0000001
0015.02  000.000  0000000  000.000  0000000  000.799  0000000
0016.00  000.000  0000000  000.000  0000000  000.938  0000003
0017.00  000.000  0000000  000.000  0000000  001.000  0000002
0018.02  000.000  0000000  000.000  0000000  000.944  0000000
0019.02  000.000  0000000  000.000  0000000  000.894  0000000
0020.02  000.000  0000000  000.000  0000000  001.099  0000005
0021.00  000.000  0000000  000.000  0000000  001.095  0000001
0022.02  000.000  0000000  000.000  0000000  001.090  0000001
0023.02  000.000  0000000  000.000  0000000  001.043  0000000
0024.02  000.000  0000000  000.000  0000000  001.166  0000004
0025.02  000.000  0000000  000.000  0000000  001.159  0000001
0026.03  000.000  0000000  000.000  0000000  001.152  0000001
0027.02  000.000  0000000  000.000  0000000  001.147  0000001
0028.02  000.000  0000000  000.000  0000000  001.106  0000000
0029.02  000.000  0000000  000.000  0000000  001.137  0000002
0030.02  000.000  0000000  000.000  0000000  001.133  0000001
0031.03  000.000  0000000  000.000  0000000  001.096  0000000
0032.03  000.000  0000000  000.000  0000000  001.155  0000003
0033.02  000.000  0000000  000.000  0000000  001.121  0000000
0034.02  000.000  0000000  000.000  0000000  001.146  0000002
0035.03  000.000  0000000  000.000  0000000  001.113  0000000
0036.03  000.000  0000000  000.028  0000001  001.166  0000003
0037.03  000.000  0000000  000.027  0000000  001.134  0000000
0038.03  000.000  0000000  000.026  0000000  001.104  0000000
0039.03  000.000  0000000  000.026  0000000  001.102  0000001
0040.03  000.000  0000000  000.025  0000000  001.124  0000002
0041.03  000.000  0000000  000.024  0000000  001.097  0000000
0042.03  000.000  0000000  000.024  0000000  001.071  0000000
0043.03  000.000  0000000  000.023  0000000  001.046  0000000
0044.05  000.000  0000000  000.023  0000000  001.067  0000002
0045.03  000.000  0000000  000.022  0000000  001.044  0000000
0046.03  000.000  0000000  000.022  0000000  001.021  0000000
0047.03  000.000  0000000  000.021  0000000  000.999  0000000
0048.05  000.000  0000000  000.021  0000000  000.999  0000001
0049.05  000.000  0000000  000.020  0000000  000.979  0000000
0050.03  000.000  0000000  000.020  0000000  000.979  0000001
0051.03  000.000  0000000  000.020  0000000  000.960  0000000
0052.05  000.000  0000000  000.019  0000000  000.980  0000002
0053.05  000.000  0000000  000.019  0000000  000.961  0000000
0054.05  000.000  0000000  000.019  0000000  000.981  0000002
0055.05  000.000  0000000  000.018  0000000  000.981  0000001
0056.03  000.000  0000000  000.018  0000000  000.982  0000001
0057.05  000.000  0000000  000.018  0000000  000.999  0000002
0058.05  000.000  0000000  000.034  0000001  001.051  0000004
0059.05  000.000  0000000  000.034  0000000  001.033  0000000
0060.05  000.000  0000000  000.033  0000000  001.032  0000001
0061.07  000.000  0000000  000.033  0000000  001.015  0000000
0062.05  000.000  0000000  000.032  0000000  000.999  0000000
0063.05  000.000  0000000  000.032  0000000  000.983  0000000
0064.05  000.000  0000000  000.031  0000000  000.984  0000001
0065.07  000.000  0000000  000.031  0000000  000.968  0000000
0066.07  000.000  0000000  000.030  0000000  000.954  0000000
0067.07  000.000  0000000  000.030  0000000  000.939  0000000
Group 3 Stopped 6/13/2021  23:06:03
 
Count Summary
C:RaDeCC\DataRaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0067.82  000.000  000000  000.029  000002  000.944  000064
System Number 3
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

