C:\RaDeCC\Data\AL557_062021\140621_green_St7_2.txt
Start Time 6/14/2021  09:46:34
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  000.000  0000000  001.000  0000001
0002.00  000.000  0000000  000.000  0000000  000.500  0000000
0003.00  000.000  0000000  000.000  0000000  000.667  0000001
0004.00  000.000  0000000  000.000  0000000  000.750  0000001
0005.02  000.000  0000000  000.199  0000001  001.395  0000004
0006.00  000.000  0000000  000.333  0000001  001.500  0000002
0007.00  000.000  0000000  000.286  0000000  001.857  0000004
0008.00  000.000  0000000  000.500  0000002  002.250  0000005
0009.02  000.000  0000000  000.555  0000001  002.218  0000002
0010.02  000.000  0000000  000.599  0000001  002.396  0000004
0011.02  000.091  0000001  000.726  0000002  002.814  0000007
0012.00  000.083  0000000  000.667  0000000  002.667  0000001
0013.00  000.077  0000000  000.692  0000001  002.615  0000002
0014.02  000.071  0000000  000.642  0000000  002.497  0000001
0015.02  000.067  0000000  000.599  0000000  002.464  0000002
0016.02  000.062  0000000  000.687  0000002  002.622  0000005
0017.02  000.059  0000000  000.646  0000000  002.586  0000002
0018.02  000.056  0000000  000.611  0000000  002.498  0000001
0019.02  000.053  0000000  000.631  0000001  002.524  0000003
0020.02  000.050  0000000  000.649  0000001  002.598  0000004
0021.02  000.048  0000000  000.619  0000000  002.617  0000003
0022.02  000.045  0000000  000.681  0000002  002.771  0000006
0023.03  000.087  0000001  000.695  0000001  002.865  0000005
0024.02  000.083  0000000  000.666  0000000  002.831  0000002
0025.03  000.080  0000000  000.679  0000001  002.836  0000003
0026.02  000.115  0000001  000.692  0000001  002.883  0000004
0027.02  000.111  0000000  000.703  0000001  002.961  0000005
0028.02  000.107  0000000  000.678  0000000  002.963  0000003
0029.03  000.103  0000000  000.723  0000002  003.100  0000007
0030.03  000.100  0000000  000.733  0000001  003.063  0000002
0031.03  000.097  0000000  000.709  0000000  002.997  0000001
0032.02  000.094  0000000  000.687  0000000  003.061  0000005
0033.03  000.091  0000000  000.666  0000000  002.997  0000001
0034.03  000.088  0000000  000.646  0000000  002.968  0000002
0035.03  000.114  0000001  000.714  0000003  003.054  0000006
0036.03  000.111  0000000  000.694  0000000  003.025  0000002
0037.05  000.108  0000000  000.675  0000000  002.969  0000001
0038.03  000.105  0000000  000.657  0000000  002.997  0000004
0039.03  000.102  0000000  000.640  0000000  002.972  0000002
0040.03  000.100  0000000  000.624  0000000  002.898  0000000
0041.03  000.097  0000000  000.609  0000000  002.827  0000000
0042.03  000.095  0000000  000.595  0000000  002.855  0000004
0043.03  000.139  0000002  000.627  0000002  003.021  0000010
0044.05  000.136  0000000  000.658  0000002  003.042  0000004
0045.05  000.133  0000000  000.644  0000000  003.041  0000003
0046.03  000.130  0000000  000.652  0000001  003.041  0000003
0047.03  000.128  0000000  000.702  0000003  003.104  0000006
0048.05  000.125  0000000  000.708  0000001  003.080  0000002
0049.05  000.122  0000000  000.693  0000000  003.038  0000001
0050.05  000.120  0000000  000.719  0000002  003.037  0000003
0051.05  000.118  0000000  000.725  0000001  003.056  0000004
0052.05  000.115  0000000  000.711  0000000  003.016  0000001
0053.05  000.113  0000000  000.735  0000002  003.073  0000006
0054.05  000.111  0000000  000.759  0000002  003.090  0000004
0055.05  000.109  0000000  000.817  0000004  003.215  0000010
0056.05  000.107  0000000  000.803  0000000  003.176  0000001
0057.07  000.105  0000000  000.806  0000001  003.172  0000003
0058.05  000.103  0000000  000.810  0000001  003.187  0000004
0059.05  000.102  0000000  000.830  0000002  003.218  0000005
0060.05  000.100  0000000  000.833  0000001  003.231  0000004
0061.07  000.098  0000000  000.819  0000000  003.226  0000003
0062.07  000.097  0000000  000.822  0000001  003.222  0000003
0063.07  000.095  0000000  000.809  0000000  003.203  0000002
0064.05  000.094  0000000  000.812  0000001  003.263  0000007
0065.07  000.092  0000000  000.815  0000001  003.289  0000005
0066.07  000.106  0000001  000.802  0000000  003.285  0000003
0067.07  000.104  0000000  000.790  0000000  003.265  0000002
0068.07  000.103  0000000  000.793  0000001  003.262  0000003
0069.07  000.101  0000000  000.796  0000001  003.301  0000006
