C:\RaDeCC\Data\AL557_062021\140621_orange_St9_2.txt
Start Time 6/14/2021  23:40:16
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  000.000  0000000  000.000  0000000
0001.98  000.000  0000000  001.008  0000002  002.017  0000004
0002.98  000.000  0000000  000.670  0000000  001.341  0000000
0004.00  000.000  0000000  000.750  0000001  001.750  0000003
0005.00  000.000  0000000  000.600  0000000  001.800  0000002
0006.00  000.000  0000000  000.500  0000000  001.667  0000001
0006.98  000.143  0000001  000.430  0000000  002.148  0000005
0008.00  000.125  0000000  000.750  0000003  002.750  0000007
0009.00  000.333  0000002  000.889  0000002  003.333  0000008
0010.00  000.300  0000000  000.900  0000001  003.300  0000003
0011.00  000.364  0000001  000.909  0000001  003.545  0000006
0012.02  000.333  0000000  000.915  0000001  003.412  0000002
0013.00  000.308  0000000  000.846  0000000  003.308  0000002
0014.00  000.286  0000000  000.786  0000000  003.071  0000000
0015.00  000.267  0000000  000.800  0000001  003.000  0000002
0016.02  000.250  0000000  000.749  0000000  002.997  0000003
0017.02  000.294  0000001  000.705  0000000  002.938  0000002
0018.00  000.278  0000000  000.722  0000001  003.056  0000005
0019.02  000.263  0000000  000.736  0000001  002.997  0000002
0020.02  000.250  0000000  000.799  0000002  003.197  0000007
0021.02  000.285  0000001  000.856  0000002  003.331  0000006
0022.02  000.273  0000000  000.818  0000000  003.270  0000002
0023.03  000.260  0000000  000.868  0000002  003.300  0000004
0024.02  000.250  0000000  000.874  0000001  003.331  0000004
0025.02  000.240  0000000  000.839  0000000  003.278  0000002
0026.02  000.269  0000001  000.846  0000001  003.344  0000005
0027.02  000.259  0000000  000.814  0000000  003.331  0000003
0028.03  000.250  0000000  000.820  0000001  003.282  0000002
0029.03  000.241  0000000  000.792  0000000  003.238  0000002
0030.02  000.233  0000000  000.766  0000000  003.165  0000001
0031.02  000.226  0000000  000.774  0000001  003.160  0000003
0032.03  000.250  0000001  000.749  0000000  003.153  0000003
0033.02  000.242  0000000  000.787  0000002  003.210  0000005
0034.03  000.235  0000000  000.793  0000001  003.203  0000003
0035.03  000.228  0000000  000.771  0000000  003.140  0000001
0036.03  000.222  0000000  000.777  0000001  003.108  0000002
0037.03  000.243  0000001  000.756  0000000  003.105  0000003
0038.03  000.237  0000000  000.762  0000001  003.076  0000002
0039.03  000.231  0000000  000.743  0000000  003.023  0000001
