C:\RaDeCC\Data\AL557_062021\050621_1orange_223Rastandard.txt
Start Time 6/5/2021  16:59:40
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  000.000  0000000  005.085  0000005
0001.98  001.513  0000003  001.008  0000002  006.555  0000008
0003.00  001.667  0000002  000.667  0000000  006.333  0000006
0004.00  002.000  0000003  000.750  0000001  007.000  0000009
0004.98  002.007  0000002  000.602  0000000  007.224  0000008
0005.98  001.671  0000000  000.501  0000000  006.184  0000001
0006.98  001.575  0000001  000.430  0000000  006.014  0000005
0008.00  001.375  0000000  000.375  0000000  005.625  0000003
0009.00  001.222  0000000  000.444  0000001  005.444  0000004
0009.98  001.202  0000001  000.401  0000000  005.509  0000006
0010.98  001.275  0000002  000.728  0000004  006.009  0000011
0012.00  001.333  0000002  000.667  0000000  006.000  0000006
0013.00  001.231  0000000  000.615  0000000  005.692  0000002
0014.00  001.214  0000001  000.714  0000002  005.786  0000007
0015.00  001.267  0000002  000.800  0000002  005.733  0000005
0016.00  001.188  0000000  000.750  0000000  005.375  0000000
0017.00  001.294  0000003  000.824  0000002  005.529  0000008
0018.00  001.278  0000001  000.889  0000002  005.611  0000007
0019.00  001.263  0000001  000.895  0000001  005.684  0000007
0020.00  001.200  0000000  000.850  0000000  005.450  0000001
0021.02  001.237  0000002  000.809  0000000  005.519  0000007
0022.00  001.227  0000001  000.773  0000000  005.500  0000005
0023.00  001.261  0000002  000.739  0000000  005.478  0000005
0024.00  001.333  0000003  000.708  0000000  005.583  0000008
0025.02  001.319  0000001  000.680  0000000  005.436  0000002
0026.02  001.268  0000000  000.692  0000001  005.420  0000005
0027.02  001.295  0000002  000.666  0000000  005.441  0000006
0028.00  001.393  0000004  000.643  0000000  005.607  0000010
0029.00  001.345  0000000  000.621  0000000  005.483  0000002
0030.02  001.333  0000001  000.666  0000002  005.464  0000005
0031.02  001.354  0000002  000.645  0000000  005.481  0000006
0032.02  001.374  0000002  000.625  0000000  005.560  0000008
0033.02  001.393  0000002  000.666  0000002  005.724  0000011
0034.02  001.382  0000001  000.647  0000000  005.674  0000004
0035.02  001.371  0000001  000.628  0000000  005.626  0000004
0036.02  001.444  0000004  000.611  0000000  005.775  0000011
0037.02  001.513  0000004  000.594  0000000  005.970  0000013
0038.03  001.472  0000000  000.578  0000000  005.837  0000001
0039.03  001.435  0000000  000.564  0000000  005.764  0000003
0040.02  001.449  0000002  000.625  0000003  005.798  0000007
0041.02  001.463  0000002  000.610  0000000  005.827  0000007
0042.02  001.428  0000000  000.595  0000000  005.760  0000003
0043.03  001.487  0000004  000.581  0000000  005.879  0000011
0044.03  001.476  0000001  000.568  0000000  005.859  0000005
0045.03  001.443  0000000  000.555  0000000  005.751  0000001
0046.02  001.413  0000000  000.565  0000001  005.694  0000003
0047.03  001.403  0000001  000.553  0000000  005.677  0000005
0048.03  001.395  0000001  000.562  0000001  005.684  0000006
0049.03  001.387  0000001  000.551  0000000  005.629  0000003
0050.03  001.359  0000000  000.540  0000000  005.556  0000002
0051.05  001.391  0000003  000.548  0000001  005.661  0000011
0052.03  001.384  0000001  000.557  0000001  005.727  0000009
0053.03  001.358  0000000  000.547  0000000  005.676  0000003
0054.03  001.333  0000000  000.592  0000003  005.719  0000008
0055.03  001.363  0000003  000.581  0000000  005.778  0000009
0056.03  001.374  0000002  000.589  0000001  005.836  0000009
0057.03  001.368  0000001  000.579  0000000  005.804  0000004
0058.05  001.361  0000001  000.568  0000000  005.771  0000004
0059.05  001.338  0000000  000.559  0000000  005.775  0000006
0060.03  001.316  0000000  000.550  0000000  005.713  0000002
0061.03  001.344  0000003  000.541  0000000  005.767  0000009
0062.05  001.322  0000000  000.532  0000000  005.721  0000003
0063.05  001.316  0000001  000.523  0000000  005.741  0000007
0064.05  001.327  0000002  000.515  0000000  005.792  0000009
0065.05  001.368  0000004  000.507  0000000  005.919  0000014
0066.05  001.363  0000001  000.515  0000001  005.935  0000007
0067.05  001.357  0000001  000.522  0000001  005.936  0000006
0068.05  001.352  0000001  000.514  0000000  005.937  0000006
0069.05  001.332  0000000  000.507  0000000  005.909  0000004
0070.05  001.328  0000001  000.500  0000000  005.882  0000004
0071.07  001.309  0000000  000.492  0000000  005.868  0000005
0072.05  001.319  0000002  000.486  0000000  005.857  0000005
0073.05  001.328  0000002  000.479  0000000  005.873  0000007
0074.05  001.323  0000001  000.486  0000001  005.847  0000004
0075.07  001.319  0000001  000.480  0000000  005.821  0000004
0076.07  001.315  0000001  000.473  0000000  005.784  0000003
0077.07  001.298  0000000  000.467  0000000  005.735  0000002
0078.05  001.281  0000000  000.474  0000001  005.714  0000004
0079.07  001.265  0000000  000.468  0000000  005.666  0000002
0080.07  001.261  0000001  000.475  0000001  005.683  0000007
0081.07  001.246  0000000  000.469  0000000  005.637  0000002
0082.07  001.255  0000002  000.475  0000001  005.678  0000009
0083.07  001.252  0000001  000.470  0000000  005.646  0000003
0084.07  001.261  0000002  000.464  0000000  005.674  0000008
0085.07  001.246  0000000  000.458  0000000  005.713  0000009
0086.07  001.243  0000001  000.465  0000001  005.728  0000007
0087.08  001.240  0000001  000.459  0000000  005.719  0000005
0088.08  001.226  0000000  000.465  0000001  005.711  0000005
0089.07  001.213  0000000  000.472  0000001  005.681  0000003
0090.07  001.210  0000001  000.466  0000000  005.674  0000005
0091.07  001.230  0000003  000.461  0000000  005.743  0000012
0092.08  001.271  0000005  000.478  0000002  005.799  0000011
0093.08  001.257  0000000  000.473  0000000  005.780  0000004
0094.08  001.254  0000001  000.468  0000000  005.782  0000006
0095.07  001.252  0000001  000.463  0000000  005.785  0000006
0096.08  001.259  0000002  000.458  0000000  005.787  0000006
0097.08  001.267  0000002  000.453  0000000  005.820  0000009
0098.08  001.254  0000000  000.459  0000001  005.811  0000005
0099.08  001.241  0000000  000.464  0000001  005.833  0000008
0100.08  001.239  0000001  000.460  0000000  005.835  0000006
0101.08  001.237  0000001  000.455  0000000  005.857  0000008
0102.08  001.224  0000000  000.451  0000000  005.819  0000002
0103.08  001.213  0000000  000.456  0000001  005.791  0000003
0104.10  001.210  0000001  000.471  0000002  005.802  0000007
0105.08  001.228  0000003  000.485  0000002  005.824  0000008
0106.08  001.235  0000002  000.500  0000002  005.854  0000009
0107.08  001.242  0000002  000.514  0000002  005.893  0000010
0108.10  001.230  0000000  000.509  0000000  005.883  0000005
0109.10  001.237  0000002  000.504  0000000  005.875  0000005
0110.10  001.244  0000002  000.509  0000001  005.931  0000012
0111.10  001.251  0000002  000.531  0000003  005.986  0000012
0112.08  001.240  0000000  000.526  0000000  005.960  0000003
0113.10  001.238  0000001  000.522  0000000  005.968  0000007
0114.10  001.227  0000000  000.517  0000000  005.951  0000004
0115.10  001.234  0000002  000.539  0000003  005.995  0000011
0116.10  001.223  0000000  000.534  0000000  005.978  0000004
0117.10  001.213  0000000  000.529  0000000  005.952  0000003
0118.10  001.211  0000001  000.525  0000000  005.936  0000004
0119.10  001.209  0000001  000.521  0000000  005.911  0000003
0120.10  001.199  0000000  000.516  0000000  005.887  0000003
0121.10  001.206  0000002  000.512  0000000  005.871  0000004
0122.12  001.204  0000001  000.508  0000000  005.871  0000006
0123.12  001.202  0000001  000.504  0000000  005.848  0000003
0124.10  001.201  0000001  000.500  0000000  005.842  0000005
0125.12  001.207  0000002  000.512  0000002  005.875  0000010
0126.12  001.221  0000003  000.507  0000000  005.899  0000009
0127.10  001.227  0000002  000.511  0000001  005.917  0000008
0128.12  001.233  0000002  000.507  0000000  005.924  0000007
0129.12  001.224  0000000  000.503  0000000  005.894  0000002
0130.12  001.222  0000001  000.500  0000000  005.879  0000004
0131.12  001.236  0000003  000.496  0000000  005.888  0000007
0132.10  001.241  0000002  000.492  0000000  005.882  0000005
0133.12  001.247  0000002  000.496  0000001  005.897  0000008
0134.12  001.238  0000000  000.492  0000000  005.883  0000004
0135.12  001.229  0000000  000.496  0000001  005.884  0000006
0136.12  001.227  0000001  000.492  0000000  005.863  0000003
0137.13  001.225  0000001  000.496  0000001  005.863  0000006
0138.12  001.231  0000002  000.514  0000003  005.901  0000011
0139.12  001.244  0000003  000.510  0000000  005.909  0000007
0140.12  001.242  0000001  000.507  0000000  005.895  0000004
0141.13  001.254  0000003  000.503  0000000  005.959  0000015
0142.13  001.259  0000002  000.507  0000001  005.980  0000009
0143.13  001.258  0000001  000.510  0000001  005.987  0000007
0144.12  001.256  0000001  000.507  0000000  005.995  0000007
0145.12  001.247  0000000  000.510  0000001  005.981  0000004
0146.13  001.239  0000000  000.506  0000000  005.947  0000001
0147.13  001.244  0000002  000.503  0000000  005.933  0000004
0148.13  001.256  0000003  000.513  0000002  005.981  0000013
0149.13  001.261  0000002  000.510  0000000  005.981  0000006
0150.13  001.272  0000003  000.506  0000000  006.001  0000009
0151.13  001.284  0000003  000.503  0000000  006.021  0000009
0152.13  001.282  0000001  000.500  0000000  006.021  0000006
0153.13  001.280  0000001  000.503  0000001  006.027  0000007
0154.15  001.271  0000000  000.500  0000000  005.988  0000000
0155.15  001.263  0000000  000.496  0000000  005.968  0000003
0156.13  001.255  0000000  000.493  0000000  005.950  0000003
0157.13  001.286  0000006  000.490  0000000  005.995  0000013
0158.13  001.296  0000003  000.487  0000000  006.020  0000010
0159.15  001.294  0000001  000.484  0000000  006.013  0000005
0160.15  001.293  0000001  000.481  0000000  006.001  0000004
0161.15  001.285  0000000  000.478  0000000  005.982  0000003
0162.13  001.283  0000001  000.475  0000000  005.989  0000007
0163.15  001.287  0000002  000.472  0000000  005.982  0000005
0164.15  001.292  0000002  000.475  0000001  005.982  0000006
0165.15  001.284  0000000  000.478  0000001  005.970  0000004
0166.15  001.276  0000000  000.481  0000001  005.971  0000006
0167.17  001.280  0000002  000.479  0000000  005.964  0000005
0168.15  001.279  0000001  000.482  0000001  005.947  0000003
0169.15  001.277  0000001  000.491  0000002  005.947  0000006
0170.15  001.281  0000002  000.500  0000002  005.971  0000010
0171.15  001.291  0000003  000.497  0000000  005.989  0000009
0172.17  001.295  0000002  000.494  0000000  005.994  0000007
0173.17  001.288  0000000  000.491  0000000  005.988  0000005
0174.15  001.286  0000001  000.488  0000000  005.983  0000005
0175.15  001.285  0000001  000.485  0000000  005.978  0000005
0176.17  001.283  0000001  000.488  0000001  005.989  0000008
0177.17  001.281  0000001  000.485  0000000  005.983  0000005
0178.17  001.280  0000001  000.483  0000000  005.966  0000003
0179.15  001.273  0000000  000.486  0000001  005.973  0000007
0180.17  001.265  0000000  000.483  0000000  005.956  0000003
0181.17  001.264  0000001  000.491  0000002  005.956  0000006
0182.17  001.263  0000001  000.489  0000000  005.951  0000005
0183.17  001.261  0000001  000.486  0000000  005.956  0000007
0184.17  001.276  0000004  000.500  0000003  005.995  0000013
0185.17  001.269  0000000  000.497  0000000  005.973  0000002
0186.17  001.268  0000001  000.494  0000000  005.962  0000004
0187.17  001.261  0000000  000.492  0000000  005.952  0000004
0188.17  001.281  0000005  000.500  0000002  005.989  0000013
0189.18  001.274  0000000  000.497  0000000  005.978  0000004
0190.18  001.272  0000001  000.494  0000000  005.978  0000006
0191.17  001.271  0000001  000.492  0000000  005.969  0000004
0192.17  001.270  0000001  000.494  0000001  005.974  0000007
0193.18  001.263  0000000  000.492  0000000  005.979  0000007
0194.18  001.267  0000002  000.489  0000000  005.974  0000005
0195.18  001.271  0000002  000.492  0000001  005.984  0000008
0196.18  001.274  0000002  000.489  0000000  005.989  0000007
0197.17  001.273  0000001  000.487  0000000  005.975  0000003
0198.18  001.272  0000001  000.484  0000000  005.959  0000003
0199.18  001.265  0000000  000.482  0000000  005.934  0000001
0200.18  001.259  0000000  000.480  0000000  005.925  0000004
0201.18  001.253  0000000  000.477  0000000  005.905  0000002
0202.18  001.251  0000001  000.475  0000000  005.891  0000003
0203.20  001.250  0000001  000.472  0000000  005.886  0000005
0204.20  001.249  0000001  000.475  0000001  005.881  0000005
0205.20  001.248  0000001  000.473  0000000  005.882  0000006
0206.18  001.246  0000001  000.475  0000001  005.883  0000006
0207.18  001.250  0000002  000.473  0000000  005.889  0000007
0208.18  001.244  0000000  000.471  0000000  005.879  0000004
0209.20  001.238  0000000  000.468  0000000  005.865  0000003
Group 2 Stopped 6/5/2021  20:29:16
 
Count Summary
C:RaDeCC\DataRaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0209.60  001.240  000260  000.468  000098  005.873  001231
System Number 2
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

