C:\RaDeCC\Data\AL557_062021\060621_blue_224STD.txt
Start Time 6/6/2021  20:20:26
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  002.034  0000002  005.085  0000005
0001.98  000.000  0000000  001.513  0000001  003.529  0000002
0002.98  000.000  0000000  002.346  0000004  004.693  0000007
0004.00  000.000  0000000  001.750  0000000  003.750  0000001
0005.00  000.000  0000000  001.400  0000000  003.000  0000000
0005.98  000.000  0000000  001.170  0000000  002.507  0000000
0006.98  000.000  0000000  001.146  0000001  002.434  0000002
0008.00  000.000  0000000  001.125  0000001  002.375  0000002
0009.00  000.000  0000000  001.000  0000000  002.222  0000001
0010.00  000.000  0000000  000.900  0000000  002.000  0000000
0011.00  000.000  0000000  000.818  0000000  001.909  0000001
0011.98  000.000  0000000  000.834  0000001  002.003  0000003
0013.00  000.000  0000000  000.769  0000000  001.923  0000001
0014.00  000.000  0000000  000.786  0000001  002.000  0000003
0015.00  000.000  0000000  000.800  0000001  002.000  0000002
0016.00  000.000  0000000  000.750  0000000  001.938  0000001
0017.00  000.000  0000000  000.706  0000000  001.882  0000001
0018.02  000.000  0000000  000.666  0000000  001.776  0000000
0019.02  000.000  0000000  000.631  0000000  001.735  0000001
0020.00  000.000  0000000  000.650  0000001  001.800  0000003
0021.00  000.000  0000000  000.667  0000001  001.810  0000002
0022.00  000.000  0000000  000.636  0000000  001.773  0000001
0023.02  000.000  0000000  000.608  0000000  001.781  0000002
0024.02  000.000  0000000  000.666  0000002  002.040  0000008
0025.02  000.000  0000000  000.640  0000000  001.959  0000000
0026.00  000.000  0000000  000.654  0000001  001.962  0000002
0027.02  000.000  0000000  000.703  0000002  002.073  0000005
0028.02  000.000  0000000  000.750  0000002  002.142  0000004
0029.02  000.000  0000000  000.724  0000000  002.137  0000002
0030.02  000.000  0000000  000.700  0000000  002.099  0000001
0031.00  000.000  0000000  000.710  0000001  002.097  0000002
0032.02  000.000  0000000  000.718  0000001  002.093  0000002
0033.02  000.000  0000000  000.727  0000001  002.090  0000002
0034.02  000.000  0000000  000.764  0000002  002.175  0000005
0035.02  000.000  0000000  000.828  0000003  002.285  0000006
0036.03  000.000  0000000  000.860  0000002  002.359  0000005
0037.02  000.000  0000000  000.864  0000001  002.404  0000004
0038.02  000.000  0000000  000.947  0000004  002.525  0000007
