C:\RaDeCC\Data\AL557_062021\060621_green_224STD.txt
Start Time 6/6/2021  23:11:46
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  000.000  0000000  003.000  0000003
0002.00  000.000  0000000  000.000  0000000  002.000  0000001
0003.00  000.000  0000000  000.000  0000000  001.333  0000000
0003.98  000.000  0000000  000.251  0000001  002.259  0000005
0005.00  000.000  0000000  000.400  0000001  002.600  0000004
0006.00  000.000  0000000  000.333  0000000  002.333  0000001
0007.00  000.000  0000000  000.286  0000000  002.429  0000003
0008.00  000.000  0000000  000.375  0000001  002.625  0000004
0009.02  000.000  0000000  000.333  0000000  002.773  0000004
0010.00  000.000  0000000  000.400  0000001  002.700  0000002
0011.00  000.000  0000000  000.545  0000002  003.000  0000006
0012.00  000.000  0000000  000.500  0000000  002.750  0000000
0013.00  000.000  0000000  000.538  0000001  002.769  0000003
0014.02  000.000  0000000  000.499  0000000  002.711  0000002
0015.02  000.000  0000000  000.533  0000001  002.664  0000002
0016.00  000.000  0000000  000.813  0000005  003.250  0000012
0017.00  000.000  0000000  000.882  0000002  003.294  0000004
0018.02  000.000  0000000  000.833  0000000  003.275  0000003
0019.02  000.000  0000000  000.841  0000001  003.365  0000005
0020.02  000.000  0000000  000.849  0000001  003.297  0000002
0021.02  000.000  0000000  000.809  0000000  003.236  0000002
0022.02  000.000  0000000  000.772  0000000  003.179  0000002
0023.02  000.000  0000000  000.825  0000002  003.259  0000005
0024.02  000.000  0000000  000.833  0000001  003.248  0000003
0025.02  000.000  0000000  000.919  0000003  003.398  0000007
0026.02  000.000  0000000  000.884  0000000  003.306  0000001
0027.02  000.000  0000000  000.888  0000001  003.257  0000002
0028.02  000.000  0000000  000.857  0000000  003.212  0000002
0029.03  000.000  0000000  000.827  0000000  003.100  0000000
0030.03  000.000  0000000  000.799  0000000  002.997  0000000
0031.02  000.000  0000000  000.838  0000002  003.063  0000005
0032.02  000.000  0000000  000.812  0000000  003.030  0000002
0033.03  000.000  0000000  000.848  0000002  003.088  0000005
0034.03  000.000  0000000  000.852  0000001  003.115  0000004
0035.03  000.000  0000000  000.971  0000005  003.311  0000010
0036.03  000.000  0000000  000.971  0000001  003.302  0000003
0037.03  000.000  0000000  000.945  0000000  003.240  0000001
0038.03  000.000  0000000  000.920  0000000  003.234  0000003
0039.03  000.000  0000000  000.897  0000000  003.202  0000002
0040.03  000.025  0000001  000.974  0000004  003.422  0000012
0041.03  000.024  0000000  000.950  0000000  003.363  0000001
0042.05  000.024  0000000  000.951  0000001  003.329  0000002
