C:\RaDeCC\Data\AL557_062021\06102021_grey_Std224Ra.txt
Start Time 10/6/2021  10:24:08
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  000.000  0000000  000.000  0000000  000.000  0000000
0001.98  000.000  0000000  000.504  0000001  001.513  0000003
0003.00  000.000  0000000  001.000  0000002  002.333  0000004
0004.00  000.000  0000000  001.250  0000002  002.750  0000004
0005.00  000.000  0000000  001.200  0000001  002.600  0000002
0006.00  000.000  0000000  001.000  0000000  002.167  0000000
0007.00  000.000  0000000  001.000  0000001  002.143  0000002
0008.00  000.000  0000000  001.125  0000002  002.625  0000006
0009.00  000.000  0000000  001.000  0000000  002.333  0000000
0010.00  000.000  0000000  001.000  0000001  002.300  0000002
0011.02  000.000  0000000  000.998  0000001  002.542  0000005
0012.02  000.000  0000000  000.999  0000001  002.497  0000002
0013.00  000.000  0000000  001.000  0000001  002.538  0000003
0014.00  000.000  0000000  001.143  0000003  003.000  0000009
0015.00  000.000  0000000  001.133  0000001  002.933  0000002
0016.00  000.000  0000000  001.063  0000000  002.813  0000001
0017.00  000.000  0000000  001.118  0000002  002.882  0000004
0018.02  000.000  0000000  001.110  0000001  002.831  0000002
0019.02  000.000  0000000  001.157  0000002  002.892  0000004
0020.02  000.000  0000000  001.199  0000002  002.948  0000004
0021.02  000.000  0000000  001.237  0000002  002.998  0000004
0022.02  000.000  0000000  001.226  0000001  002.998  0000003
0023.02  000.000  0000000  001.217  0000001  002.998  0000003
0024.02  000.000  0000000  001.166  0000000  002.873  0000000
0025.02  000.000  0000000  001.159  0000001  002.918  0000004
0026.03  000.000  0000000  001.114  0000000  002.843  0000001
0027.03  000.000  0000000  001.073  0000000  002.737  0000000
0028.02  000.000  0000000  001.035  0000000  002.641  0000000
0029.02  000.000  0000000  000.999  0000000  002.550  0000000
0030.02  000.000  0000000  000.999  0000001  002.599  0000004
0031.03  000.000  0000000  000.967  0000000  002.513  0000000
0032.03  000.000  0000000  000.999  0000002  002.560  0000004
0033.03  000.000  0000000  000.999  0000001  002.543  0000002
0034.02  000.000  0000000  001.029  0000002  002.616  0000005
0035.03  000.000  0000000  001.056  0000002  002.655  0000004
0036.03  000.000  0000000  001.027  0000000  002.609  0000001
0037.03  000.000  0000000  001.026  0000001  002.592  0000002
0038.03  000.000  0000000  000.999  0000000  002.524  0000000
0039.03  000.000  0000000  000.999  0000001  002.511  0000002
0040.03  000.000  0000000  000.999  0000001  002.548  0000004
0041.05  000.000  0000000  000.974  0000000  002.485  0000000
0042.03  000.000  0000000  000.999  0000002  002.522  0000004
0043.03  000.000  0000000  000.999  0000001  002.510  0000002
0044.03  000.000  0000000  001.022  0000002  002.544  0000004
0045.03  000.022  0000001  001.044  0000002  002.620  0000006
0046.05  000.022  0000000  001.042  0000001  002.606  0000002
0047.05  000.021  0000000  001.020  0000000  002.572  0000001
0048.03  000.021  0000000  001.020  0000001  002.561  0000002
0049.03  000.020  0000000  001.020  0000001  002.549  0000002
0050.05  000.040  0000001  000.999  0000000  002.537  0000002
0051.05  000.039  0000000  000.979  0000000  002.507  0000001
0052.05  000.038  0000000  000.999  0000002  002.536  0000004
0053.05  000.038  0000000  000.980  0000000  002.488  0000000
0054.05  000.037  0000000  000.962  0000000  002.461  0000001
0055.05  000.036  0000000  000.945  0000000  002.416  0000000
0056.05  000.036  0000000  000.946  0000001  002.409  0000002
0057.05  000.035  0000000  000.947  0000001  002.419  0000003
0058.05  000.034  0000000  000.947  0000001  002.412  0000002
0059.07  000.034  0000000  000.948  0000001  002.404  0000002
0060.05  000.033  0000000  000.966  0000002  002.431  0000004
0061.05  000.049  0000001  000.999  0000003  002.523  0000008
0062.05  000.064  0000001  000.983  0000000  002.514  0000002
0063.07  000.063  0000000  000.983  0000001  002.505  0000002
0064.07  000.062  0000000  000.968  0000000  002.482  0000001
0065.07  000.061  0000000  000.984  0000002  002.520  0000005
0066.05  000.061  0000000  001.014  0000003  002.589  0000007
0067.07  000.060  0000000  001.029  0000002  002.624  0000005
0068.07  000.073  0000001  001.014  0000000  002.659  0000005
0069.07  000.072  0000000  000.999  0000000  002.635  0000001
