C:\RaDeCC\Data\AL557_062021\06102021_orange_Std223Ra.txt
Start Time 10/6/2021  10:24:12
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  003.000  0000003  001.000  0000001  007.000  0000007
0001.98  001.513  0000000  000.504  0000000  004.034  0000001
0002.98  001.341  0000001  000.335  0000000  003.352  0000002
0003.98  001.004  0000000  000.502  0000001  003.013  0000002
0005.00  001.000  0000001  000.400  0000000  003.000  0000003
0006.00  001.000  0000001  000.500  0000001  003.167  0000004
0007.00  001.143  0000002  000.429  0000000  003.429  0000005
0007.98  001.253  0000002  000.376  0000000  003.758  0000006
0009.00  001.333  0000002  000.333  0000000  003.778  0000004
0010.00  001.300  0000001  000.400  0000001  004.000  0000006
0011.00  001.182  0000000  000.364  0000000  003.727  0000001
0012.00  001.083  0000000  000.333  0000000  003.583  0000002
0013.00  001.154  0000002  000.308  0000000  003.846  0000007
0014.00  001.143  0000001  000.286  0000000  003.786  0000003
0015.00  001.067  0000000  000.333  0000001  003.867  0000005
0016.02  001.186  0000003  000.312  0000000  003.996  0000006
0017.00  001.235  0000002  000.294  0000000  004.059  0000005
0018.00  001.167  0000000  000.278  0000000  003.833  0000000
0019.00  001.105  0000000  000.263  0000000  003.632  0000000
0020.02  001.149  0000002  000.250  0000000  003.697  0000005
0021.02  001.094  0000000  000.238  0000000  003.616  0000002
0022.00  001.091  0000001  000.227  0000000  003.636  0000004
0023.00  001.261  0000005  000.304  0000002  004.130  0000015
0024.02  001.291  0000002  000.291  0000000  004.205  0000006
0025.02  001.279  0000001  000.320  0000001  004.277  0000006
0026.02  001.268  0000001  000.307  0000000  004.343  0000006
0027.02  001.370  0000004  000.333  0000001  004.590  0000011
0028.00  001.429  0000003  000.321  0000000  004.679  0000007
0029.02  001.379  0000000  000.310  0000000  004.515  0000000
0030.02  001.366  0000001  000.300  0000000  004.464  0000003
0031.02  001.419  0000003  000.290  0000000  004.514  0000006
0032.02  001.374  0000000  000.281  0000000  004.404  0000001
0033.03  001.483  0000005  000.272  0000000  004.632  0000012
0034.02  001.470  0000001  000.265  0000000  004.615  0000004
0035.02  001.428  0000000  000.257  0000000  004.541  0000002
0036.02  001.472  0000003  000.250  0000000  004.609  0000007
0037.03  001.485  0000002  000.243  0000000  004.644  0000006
0038.03  001.499  0000002  000.237  0000000  004.785  0000010
0039.03  001.512  0000002  000.256  0000001  004.842  0000007
0040.03  001.574  0000004  000.300  0000002  004.971  0000010
0041.03  001.633  0000004  000.292  0000000  005.069  0000009
0042.03  001.618  0000001  000.285  0000000  005.067  0000005
