C:\RaDeCC\Data\AL557_062021\070621_grey_223STD.txt
Start Time 6/7/2021  10:15:48
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  001.000  0000001  000.000  0000000  004.000  0000004
0001.98  001.008  0000001  000.504  0000001  004.538  0000005
0002.98  001.006  0000001  000.335  0000000  003.687  0000002
0003.98  000.753  0000000  000.251  0000000  002.762  0000000
0005.00  000.800  0000001  000.200  0000000  002.800  0000003
0006.00  001.167  0000003  000.167  0000000  003.667  0000008
0007.00  001.000  0000000  000.286  0000001  003.714  0000004
0007.98  000.877  0000000  000.251  0000000  003.257  0000000
0009.00  000.889  0000001  000.222  0000000  003.333  0000004
0010.00  000.800  0000000  000.200  0000000  003.100  0000001
0011.00  000.909  0000002  000.182  0000000  003.182  0000004
0012.00  000.833  0000000  000.250  0000001  003.167  0000003
0013.02  000.922  0000002  000.230  0000000  003.227  0000004
0014.00  000.929  0000001  000.214  0000000  003.143  0000002
0015.00  000.867  0000000  000.200  0000000  003.067  0000002
0016.00  000.813  0000000  000.188  0000000  002.875  0000000
0017.00  000.824  0000001  000.176  0000000  002.824  0000002
0018.02  000.777  0000000  000.278  0000002  003.053  0000007
0019.03  000.841  0000002  000.263  0000000  003.205  0000006
0020.02  000.949  0000003  000.250  0000000  003.397  0000007
0021.02  000.999  0000002  000.285  0000001  003.616  0000008
0022.02  001.045  0000002  000.273  0000000  003.724  0000006
0023.03  000.999  0000000  000.260  0000000  003.647  0000002
0024.03  001.040  0000002  000.250  0000000  003.703  0000005
0025.03  001.119  0000003  000.240  0000000  003.835  0000007
0026.02  001.153  0000002  000.231  0000000  003.882  0000005
0027.03  001.184  0000002  000.222  0000000  003.958  0000006
0028.03  001.213  0000002  000.214  0000000  003.960  0000004
0029.03  001.171  0000000  000.207  0000000  003.858  0000001
0030.03  001.132  0000000  000.200  0000000  003.762  0000001
0031.03  001.160  0000002  000.193  0000000  003.802  0000005
0032.03  001.155  0000001  000.187  0000000  003.840  0000005
0033.03  001.150  0000001  000.182  0000000  003.845  0000004
0034.03  001.175  0000002  000.176  0000000  003.849  0000004
0035.03  001.227  0000003  000.171  0000000  003.968  0000008
0036.03  001.193  0000000  000.167  0000000  003.885  0000001
0037.05  001.215  0000002  000.162  0000000  003.968  0000007
0038.03  001.236  0000002  000.210  0000002  004.102  0000009
0039.03  001.230  0000001  000.205  0000000  004.125  0000005
0040.05  001.223  0000001  000.200  0000000  004.120  0000004
0041.05  001.218  0000001  000.219  0000001  004.141  0000005
0042.05  001.332  0000006  000.238  0000001  004.447  0000017
0043.03  001.394  0000004  000.279  0000002  004.601  0000011
0044.05  001.362  0000000  000.272  0000000  004.518  0000001
0045.05  001.332  0000000  000.266  0000000  004.417  0000000
0046.05  001.325  0000001  000.261  0000000  004.408  0000004
0047.05  001.318  0000001  000.276  0000001  004.421  0000005
0048.05  001.311  0000001  000.271  0000000  004.412  0000004
0049.05  001.284  0000000  000.265  0000000  004.404  0000004
0050.05  001.319  0000003  000.260  0000000  004.496  0000009
0051.05  001.352  0000003  000.255  0000000  004.564  0000008
0052.05  001.345  0000001  000.269  0000001  004.553  0000004
0053.05  001.357  0000002  000.283  0000001  004.637  0000009
0054.05  001.388  0000003  000.296  0000001  004.736  0000010
0055.05  001.381  0000001  000.291  0000000  004.759  0000006
0056.05  001.356  0000000  000.285  0000000  004.674  0000000
0057.07  001.384  0000003  000.280  0000000  004.714  0000007
0058.07  001.412  0000003  000.276  0000000  004.753  0000007
0059.05  001.439  0000003  000.271  0000000  004.809  0000008
0060.05  001.415  0000000  000.283  0000001  004.796  0000004
0061.07  001.392  0000000  000.278  0000000  004.733  0000001
0062.07  001.369  0000000  000.274  0000000  004.705  0000003
0063.07  001.364  0000001  000.270  0000000  004.709  0000005
0064.07  001.342  0000000  000.265  0000000  004.683  0000003
0065.07  001.352  0000002  000.323  0000004  004.780  0000011
0066.07  001.362  0000002  000.378  0000004  004.828  0000008
0067.07  001.342  0000000  000.373  0000000  004.786  0000002
0068.07  001.322  0000000  000.367  0000000  004.760  0000003
0069.07  001.303  0000000  000.376  0000001  004.778  0000006
0070.08  001.298  0000001  000.385  0000001  004.794  0000006
0071.07  001.323  0000003  000.380  0000000  004.826  0000007
0072.07  001.318  0000001  000.389  0000001  004.815  0000004
0073.07  001.341  0000003  000.397  0000001  004.900  0000011
0074.08  001.350  0000002  000.391  0000000  004.886  0000004
0075.08  001.345  0000001  000.413  0000002  004.901  0000006
0076.08  001.327  0000000  000.407  0000000  004.863  0000002
0077.07  001.311  0000000  000.402  0000000  004.866  0000005
0078.08  001.332  0000003  000.397  0000000  004.905  0000008
0079.08  001.328  0000001  000.392  0000000  004.894  0000004
0080.08  001.361  0000004  000.387  0000000  004.970  0000011
0081.08  001.394  0000004  000.382  0000000  005.007  0000008
0082.08  001.377  0000000  000.390  0000001  004.983  0000003
0083.08  001.372  0000001  000.385  0000000  004.971  0000004
0084.08  001.380  0000002  000.416  0000003  005.007  0000008
0085.08  001.375  0000001  000.411  0000000  004.995  0000004
0086.08  001.371  0000001  000.407  0000000  004.972  0000003
0087.10  001.389  0000003  000.425  0000002  005.017  0000009
0088.10  001.396  0000002  000.420  0000000  005.028  0000006
0089.08  001.426  0000004  000.415  0000000  005.085  0000010
0090.08  001.421  0000001  000.422  0000001  005.106  0000007
0091.10  001.416  0000001  000.417  0000000  005.093  0000004
0092.10  001.401  0000000  000.423  0000001  005.071  0000003
0093.10  001.396  0000001  000.430  0000001  005.091  0000007
0094.08  001.382  0000000  000.436  0000001  005.102  0000006
0095.08  001.388  0000002  000.442  0000001  005.132  0000008
0096.10  001.394  0000002  000.437  0000000  005.140  0000006
0097.10  001.401  0000002  000.433  0000000  005.149  0000006
0098.10  001.417  0000003  000.428  0000000  005.199  0000010
0099.10  001.423  0000002  000.434  0000001  005.237  0000009
0100.10  001.419  0000001  000.430  0000000  005.225  0000004
0101.10  001.414  0000001  000.425  0000000  005.223  0000005
0102.10  001.410  0000001  000.421  0000000  005.201  0000003
0103.10  001.435  0000004  000.417  0000000  005.257  0000011
0104.12  001.460  0000004  000.413  0000000  005.311  0000011
0105.12  001.475  0000003  000.409  0000000  005.346  0000009
0106.10  001.470  0000001  000.415  0000001  005.363  0000007
0107.10  001.466  0000001  000.411  0000000  005.350  0000004
0108.10  001.452  0000000  000.407  0000000  005.328  0000003
0109.12  001.457  0000002  000.403  0000000  005.334  0000006
0110.12  001.453  0000001  000.409  0000001  005.340  0000006
0111.12  001.440  0000000  000.405  0000000  005.319  0000003
0112.10  001.436  0000001  000.401  0000000  005.326  0000006
0113.12  001.459  0000004  000.398  0000000  005.366  0000010
0114.12  001.455  0000001  000.394  0000000  005.345  0000003
0115.12  001.468  0000003  000.408  0000002  005.368  0000008
0116.12  001.455  0000000  000.405  0000000  005.331  0000001
0117.13  001.443  0000000  000.401  0000000  005.310  0000003
0118.12  001.439  0000001  000.406  0000001  005.317  0000006
0119.12  001.452  0000003  000.420  0000002  005.339  0000008
0120.12  001.449  0000001  000.416  0000000  005.345  0000006
0121.12  001.453  0000002  000.413  0000000  005.358  0000007
0122.13  001.441  0000000  000.409  0000000  005.314  0000000
0123.13  001.454  0000003  000.414  0000001  005.344  0000009
0124.12  001.458  0000002  000.411  0000000  005.342  0000005
0125.12  001.455  0000001  000.408  0000000  005.331  0000004
0126.13  001.443  0000000  000.404  0000000  005.344  0000007
0127.13  001.455  0000003  000.417  0000002  005.420  0000015
0128.13  001.467  0000003  000.421  0000001  005.455  0000010
0129.13  001.471  0000002  000.418  0000000  005.475  0000008
0130.13  001.475  0000002  000.423  0000001  005.487  0000007
0131.13  001.495  0000004  000.419  0000000  005.521  0000010
0132.13  001.483  0000000  000.416  0000000  005.502  0000003
0133.13  001.487  0000002  000.413  0000000  005.498  0000005
0134.13  001.491  0000002  000.417  0000001  005.532  0000010
0135.15  001.495  0000002  000.429  0000002  005.549  0000008
0136.13  001.499  0000002  000.426  0000000  005.561  0000007
0137.13  001.509  0000003  000.430  0000001  005.615  0000013
0138.13  001.499  0000000  000.427  0000000  005.589  0000002
0139.13  001.509  0000003  000.431  0000001  005.613  0000009
0140.15  001.513  0000002  000.428  0000000  005.623  0000007
0141.15  001.516  0000002  000.425  0000000  005.625  0000006
0142.13  001.520  0000002  000.422  0000000  005.621  0000005
0143.13  001.530  0000003  000.419  0000000  005.631  0000007
0144.15  001.533  0000002  000.416  0000000  005.633  0000006
0145.15  001.529  0000001  000.413  0000000  005.629  0000005
