C:\RaDeCC\Data\AL557_062021\070621_orange_223STD.txt
Start Time 6/7/2021  14:53:40
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  001.000  0000001  004.000  0000004
0002.00  000.000  0000000  000.500  0000000  002.500  0000001
0003.00  000.000  0000000  000.333  0000000  003.000  0000004
0004.00  000.000  0000000  000.250  0000000  003.000  0000003
0005.00  000.000  0000000  000.200  0000000  002.600  0000001
0006.00  000.000  0000000  000.167  0000000  002.333  0000001
0007.00  000.000  0000000  000.286  0000001  002.571  0000004
0008.00  000.000  0000000  000.375  0000001  002.750  0000004
0009.02  000.000  0000000  000.444  0000001  002.773  0000003
0010.00  000.000  0000000  000.400  0000000  002.500  0000000
0011.00  000.000  0000000  000.455  0000001  002.545  0000003
0012.00  000.000  0000000  000.500  0000001  002.583  0000003
0013.02  000.000  0000000  000.538  0000001  002.689  0000004
0014.02  000.000  0000000  000.642  0000002  002.782  0000004
0015.02  000.000  0000000  000.799  0000003  002.997  0000006
0016.02  000.000  0000000  000.874  0000002  003.122  0000005
0017.02  000.000  0000000  000.823  0000000  003.056  0000002
0018.02  000.000  0000000  000.833  0000001  003.108  0000004
0019.02  000.000  0000000  000.841  0000001  003.103  0000003
0020.03  000.000  0000000  000.799  0000000  003.045  0000002
0021.03  000.000  0000000  000.856  0000002  003.185  0000006
0022.02  000.000  0000000  000.908  0000002  003.361  0000007
0023.02  000.000  0000000  000.869  0000000  003.215  0000000
0024.03  000.000  0000000  000.874  0000001  003.204  0000003
0025.03  000.000  0000000  000.879  0000001  003.236  0000004
0026.03  000.000  0000000  000.845  0000000  003.188  0000002
0027.03  000.000  0000000  000.851  0000001  003.144  0000002
0028.02  000.000  0000000  000.857  0000001  003.141  0000003
0029.03  000.000  0000000  000.861  0000001  003.203  0000005
0030.03  000.000  0000000  000.899  0000002  003.263  0000005
0031.03  000.000  0000000  000.967  0000003  003.351  0000006
0032.03  000.000  0000000  000.968  0000001  003.309  0000002
0033.05  000.000  0000000  000.968  0000001  003.268  0000002
0034.03  000.000  0000000  000.970  0000001  003.232  0000002
0035.03  000.000  0000000  000.942  0000000  003.168  0000001
0036.03  000.000  0000000  000.916  0000000  003.108  0000001
0037.05  000.000  0000000  000.891  0000000  003.050  0000001
0038.05  000.000  0000000  000.894  0000001  003.075  0000004
0039.05  000.000  0000000  000.871  0000000  003.022  0000001
0040.03  000.000  0000000  000.874  0000001  003.022  0000003
0041.03  000.000  0000000  000.877  0000001  003.022  0000003
0042.05  000.000  0000000  000.951  0000004  003.139  0000008
0043.05  000.000  0000000  000.952  0000001  003.182  0000005
0044.05  000.000  0000000  000.976  0000002  003.246  0000006
0045.03  000.000  0000000  000.999  0000002  003.264  0000004
0046.05  000.022  0000001  000.977  0000000  003.279  0000004
0047.05  000.021  0000000  000.956  0000000  003.231  0000001
0048.05  000.021  0000000  000.957  0000001  003.226  0000003
0049.05  000.020  0000000  000.979  0000002  003.242  0000004
0050.05  000.020  0000000  000.959  0000000  003.237  0000003
0051.05  000.020  0000000  000.940  0000000  003.193  0000001
0052.07  000.019  0000000  000.941  0000001  003.169  0000002
0053.05  000.019  0000000  000.924  0000000  003.167  0000003
0054.05  000.019  0000000  000.925  0000001  003.145  0000002
0055.05  000.018  0000000  000.926  0000001  003.143  0000003
0056.07  000.036  0000001  000.910  0000000  003.157  0000004
0057.07  000.035  0000000  000.929  0000002  003.207  0000006
0058.07  000.034  0000000  000.930  0000001  003.220  0000004
0059.05  000.034  0000000  000.914  0000000  003.167  0000000
0060.05  000.033  0000000  000.916  0000001  003.164  0000003
0061.07  000.033  0000000  000.901  0000000  003.128  0000001
0062.07  000.048  0000001  000.902  0000001  003.158  0000005
0063.07  000.048  0000000  000.888  0000000  003.124  0000001
0064.07  000.047  0000000  000.874  0000000  003.106  0000002
0065.07  000.046  0000000  000.861  0000000  003.074  0000001
0066.07  000.045  0000000  000.863  0000001  003.058  0000002
0067.07  000.045  0000000  000.850  0000000  003.012  0000000
0068.08  000.044  0000000  000.837  0000000  002.967  0000000
0069.07  000.043  0000000  000.825  0000000  002.939  0000001
0070.07  000.043  0000000  000.842  0000002  002.940  0000003
0071.07  000.042  0000000  000.830  0000000  002.927  0000002
0072.07  000.042  0000000  000.819  0000000  002.886  0000000
0073.08  000.041  0000000  000.807  0000000  002.887  0000003
0074.08  000.040  0000000  000.810  0000001  002.889  0000003
0075.08  000.040  0000000  000.799  0000000  002.877  0000002
0076.08  000.039  0000000  000.815  0000002  002.905  0000005
0077.07  000.039  0000000  000.804  0000000  002.907  0000003
0078.08  000.038  0000000  000.807  0000001  002.907  0000003
0079.08  000.038  0000000  000.797  0000000  002.870  0000000
0080.08  000.037  0000000  000.799  0000001  002.897  0000005
0081.08  000.037  0000000  000.802  0000001  002.898  0000003
0082.10  000.037  0000000  000.792  0000000  002.875  0000001
0083.08  000.036  0000000  000.782  0000000  002.841  0000000
0084.08  000.036  0000000  000.797  0000002  002.902  0000008
0085.08  000.035  0000000  000.823  0000003  002.938  0000006
0086.08  000.035  0000000  000.813  0000000  002.939  0000003
0087.10  000.034  0000000  000.815  0000001  002.939  0000003
0088.10  000.034  0000000  000.817  0000001  002.951  0000004
0089.10  000.034  0000000  000.808  0000000  002.941  0000002
0090.10  000.033  0000000  000.810  0000001  002.952  0000004
0091.08  000.033  0000000  000.812  0000001  002.953  0000003
0092.08  000.033  0000000  000.804  0000000  002.932  0000001
0093.10  000.032  0000000  000.806  0000001  002.943  0000004
0094.10  000.032  0000000  000.797  0000000  002.922  0000001
0095.10  000.032  0000000  000.799  0000001  002.923  0000003
0096.10  000.031  0000000  000.822  0000003  002.955  0000006
0097.12  000.031  0000000  000.813  0000000  002.924  0000000
0098.12  000.031  0000000  000.826  0000002  002.935  0000004
0099.10  000.030  0000000  000.827  0000001  002.936  0000003
0100.10  000.030  0000000  000.839  0000002  002.947  0000004
0101.10  000.030  0000000  000.831  0000000  002.938  0000002
0102.12  000.029  0000000  000.832  0000001  002.948  0000004
0103.12  000.029  0000000  000.844  0000002  002.958  0000004
0104.12  000.029  0000000  000.836  0000000  002.968  0000004
0105.10  000.029  0000000  000.828  0000000  002.940  0000000
0106.12  000.028  0000000  000.829  0000001  002.959  0000005
0107.12  000.028  0000000  000.822  0000000  002.941  0000001
0108.12  000.028  0000000  000.814  0000000  002.941  0000003
0109.12  000.027  0000000  000.861  0000006  003.033  0000013
0110.13  000.027  0000000  000.863  0000001  003.033  0000003
0111.12  000.027  0000000  000.855  0000000  003.015  0000001
0112.12  000.027  0000000  000.847  0000000  003.006  0000002
0113.12  000.027  0000000  000.849  0000001  003.015  0000004
0114.12  000.026  0000000  000.841  0000000  002.997  0000001
0115.13  000.026  0000000  000.843  0000001  003.014  0000005
0116.13  000.026  0000000  000.844  0000001  003.031  0000005
0117.12  000.026  0000000  000.845  0000001  003.031  0000003
0118.12  000.025  0000000  000.847  0000001  003.031  0000003
0119.13  000.025  0000000  000.839  0000000  003.005  0000000
0120.13  000.025  0000000  000.849  0000002  003.038  0000007
0121.13  000.025  0000000  000.842  0000000  003.013  0000000
0122.13  000.025  0000000  000.852  0000002  003.038  0000006
0123.13  000.024  0000000  000.845  0000000  003.054  0000005
0124.13  000.024  0000000  000.846  0000001  003.069  0000005
0125.13  000.024  0000000  000.847  0000001  003.077  0000004
0126.13  000.024  0000000  000.848  0000001  003.076  0000003
0127.13  000.024  0000000  000.842  0000000  003.060  0000001
0128.13  000.023  0000000  000.843  0000001  003.067  0000004
0129.13  000.023  0000000  000.852  0000002  003.074  0000004
0130.15  000.023  0000000  000.876  0000004  003.127  0000010
0131.15  000.023  0000000  000.877  0000001  003.126  0000003
0132.13  000.023  0000000  000.878  0000001  003.133  0000004
0133.13  000.023  0000000  000.879  0000001  003.140  0000004
0134.15  000.022  0000000  000.872  0000000  003.123  0000001
0135.15  000.022  0000000  000.888  0000003  003.145  0000006
0136.15  000.022  0000000  000.889  0000001  003.136  0000002
0137.15  000.022  0000000  000.897  0000002  003.157  0000006
0138.13  000.022  0000000  000.898  0000001  003.171  0000005
0139.15  000.022  0000000  000.898  0000001  003.162  0000002
0140.15  000.021  0000000  000.906  0000002  003.175  0000005
0141.15  000.021  0000000  000.907  0000001  003.167  0000002
0142.15  000.021  0000000  000.915  0000002  003.180  0000005
0143.15  000.021  0000000  000.922  0000002  003.192  0000005
0144.15  000.021  0000000  000.930  0000002  003.198  0000004
0145.17  000.021  0000000  000.923  0000000  003.183  0000001
0146.15  000.021  0000000  000.924  0000001  003.175  0000002
0147.15  000.020  0000000  000.931  0000002  003.180  0000004
0148.15  000.020  0000000  000.925  0000000  003.159  0000000
0149.17  000.020  0000000  000.925  0000001  003.164  0000004
0150.17  000.020  0000000  000.932  0000002  003.170  0000004
0151.17  000.020  0000000  000.933  0000001  003.169  0000003
0152.15  000.020  0000000  000.933  0000001  003.168  0000003
0153.15  000.020  0000000  000.927  0000000  003.154  0000001
0154.17  000.019  0000000  000.921  0000000  003.139  0000001
0155.17  000.019  0000000  000.915  0000000  003.139  0000003
0156.17  000.019  0000000  000.916  0000001  003.138  0000003
0157.17  000.019  0000000  000.923  0000002  003.162  0000007
0158.17  000.019  0000000  000.917  0000000  003.142  0000000
0159.17  000.025  0000001  000.911  0000000  003.135  0000002
0160.17  000.025  0000000  000.912  0000001  003.134  0000003
0161.17  000.025  0000000  000.912  0000001  003.127  0000002
0162.17  000.025  0000000  000.919  0000002  003.145  0000006
0163.17  000.025  0000000  000.913  0000000  003.126  0000000
0164.18  000.024  0000000  000.908  0000000  003.118  0000002
0165.18  000.024  0000000  000.902  0000000  003.106  0000001
0166.17  000.024  0000000  000.903  0000001  003.105  0000003
0167.17  000.024  0000000  000.903  0000001  003.105  0000003
0168.18  000.024  0000000  000.898  0000000  003.092  0000001
0169.18  000.024  0000000  000.898  0000001  003.091  0000003
0170.18  000.024  0000000  000.899  0000001  003.085  0000002
0171.18  000.023  0000000  000.900  0000001  003.090  0000004
0172.17  000.023  0000000  000.912  0000003  003.113  0000007
0173.18  000.023  0000000  000.918  0000002  003.130  0000006
0174.18  000.023  0000000  000.913  0000000  003.123  0000002
0175.18  000.023  0000000  000.908  0000000  003.128  0000004
0176.18  000.023  0000000  000.914  0000002  003.139  0000005
0177.20  000.023  0000000  000.914  0000001  003.132  0000002
0178.18  000.022  0000000  000.915  0000001  003.126  0000002
0179.18  000.022  0000000  000.915  0000001  003.120  0000002
0180.18  000.022  0000000  000.921  0000002  003.136  0000006
0181.20  000.022  0000000  000.922  0000001  003.140  0000004
0182.20  000.022  0000000  000.922  0000001  003.150  0000005
0183.20  000.022  0000000  000.922  0000001  003.144  0000002
0184.18  000.022  0000000  000.918  0000000  003.138  0000002
0185.18  000.022  0000000  000.913  0000000  003.127  0000001
0186.20  000.021  0000000  000.913  0000001  003.131  0000004
0187.20  000.021  0000000  000.908  0000000  003.120  0000001
0188.20  000.027  0000001  000.919  0000003  003.124  0000004
0189.18  000.026  0000000  000.914  0000000  003.124  0000003
0190.20  000.026  0000000  000.910  0000000  003.113  0000001
0191.20  000.026  0000000  000.910  0000001  003.117  0000004
0192.20  000.026  0000000  000.916  0000002  003.122  0000004
0193.20  000.026  0000000  000.921  0000002  003.131  0000005
0194.22  000.026  0000000  000.922  0000001  003.136  0000004
0195.20  000.026  0000000  000.922  0000001  003.135  0000003
0196.20  000.025  0000000  000.928  0000002  003.140  0000004
0197.20  000.025  0000000  000.928  0000001  003.139  0000003
0198.20  000.025  0000000  000.933  0000002  003.143  0000004
0199.22  000.025  0000000  000.939  0000002  003.152  0000005
0200.22  000.030  0000001  000.939  0000001  003.162  0000005
0201.22  000.030  0000000  000.954  0000004  003.181  0000007
0202.22  000.030  0000000  000.959  0000002  003.190  0000005
0203.23  000.030  0000000  000.955  0000000  003.174  0000000
0204.22  000.029  0000000  000.965  0000003  003.193  0000007
0205.22  000.029  0000000  000.965  0000001  003.192  0000003
0206.22  000.029  0000000  000.965  0000001  003.191  0000003
0207.23  000.029  0000000  000.965  0000001  003.190  0000003
0208.23  000.029  0000000  000.970  0000002  003.203  0000006
0209.23  000.033  0000001  000.970  0000001  003.212  0000005
0210.22  000.033  0000000  000.966  0000000  003.197  0000000
0211.23  000.033  0000000  000.961  0000000  003.181  0000000
0212.23  000.033  0000000  000.961  0000001  003.176  0000002
0213.23  000.033  0000000  000.966  0000002  003.180  0000004
0214.23  000.033  0000000  000.966  0000001  003.179  0000003
0215.23  000.033  0000000  000.966  0000001  003.173  0000002
0216.23  000.032  0000000  000.962  0000000  003.159  0000000
0217.23  000.032  0000000  000.967  0000002  003.186  0000009
0218.23  000.032  0000000  000.976  0000003  003.203  0000007
0219.23  000.032  0000000  000.976  0000001  003.207  0000004
0220.25  000.032  0000000  000.981  0000002  003.210  0000004
0221.23  000.032  0000000  000.981  0000001  003.205  0000002
0222.23  000.031  0000000  000.981  0000001  003.204  0000003
0223.23  000.031  0000000  000.981  0000001  003.198  0000002
0224.23  000.031  0000000  000.986  0000002  003.211  0000006
0225.25  000.031  0000000  000.994  0000003  003.232  0000008
0226.25  000.031  0000000  000.999  0000002  003.244  0000006
0227.23  000.031  0000000  000.999  0000001  003.239  0000002
Group 1 Stopped 6/7/2021  18:41:12
 
Count Summary
C:RaDeCC\DataRaDeCC.sum
Runtime  CPM219   Cnt219  CPM220   Cnt220  CPMTot   CntTot
0227.53  000.031  000007  001.002  000228  003.248  000739
System Number 1
(219:Delay= 0.01 Window= 5.6)(220:Delay= 5.61 Window= 600)
Eff Last Updated  15Jan13  219= Uset  220= Uset  Tot= Uset

