C:\RaDeCC\Data\AL557_062021\070621_grey_224STD.txt
Start Time 6/7/2021  14:53:42
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  003.000  0000003  000.000  0000000  006.000  0000006
0002.00  002.500  0000002  000.500  0000001  008.000  0000010
0003.00  002.000  0000001  000.667  0000001  007.000  0000005
0003.98  002.259  0000003  000.502  0000000  007.029  0000007
0005.00  002.200  0000002  000.800  0000002  007.600  0000010
0006.00  001.833  0000000  000.667  0000000  006.667  0000002
0007.00  001.714  0000001  000.857  0000002  006.571  0000006
0008.00  001.500  0000000  000.750  0000000  006.000  0000002
0009.02  001.553  0000002  000.665  0000000  005.989  0000006
0010.00  001.500  0000001  000.600  0000000  005.800  0000004
0011.00  001.364  0000000  000.545  0000000  005.455  0000002
0012.00  001.333  0000001  000.500  0000000  005.167  0000002
0013.02  001.460  0000003  000.615  0000002  005.531  0000010
0014.02  001.498  0000002  000.642  0000001  005.636  0000007
0015.02  001.598  0000003  000.599  0000000  005.794  0000008
0016.00  001.688  0000003  000.563  0000000  005.938  0000008
0017.00  001.647  0000001  000.529  0000000  005.824  0000004
0018.02  001.721  0000003  000.555  0000001  005.994  0000009
0019.02  001.788  0000003  000.526  0000000  005.995  0000006
0020.02  001.699  0000000  000.550  0000001  005.795  0000002
0021.02  001.665  0000001  000.523  0000000  005.852  0000007
0022.02  001.681  0000002  000.500  0000000  005.905  0000007
0023.02  001.651  0000001  000.521  0000001  005.865  0000005
0024.02  001.666  0000002  000.500  0000000  005.829  0000005
0025.02  001.799  0000005  000.520  0000001  006.116  0000013
0026.02  001.807  0000002  000.500  0000000  006.035  0000004
0027.03  001.813  0000002  000.481  0000000  006.030  0000006
0028.02  001.892  0000004  000.571  0000003  006.246  0000012
0029.02  001.861  0000001  000.551  0000000  006.169  0000004
0030.02  001.799  0000000  000.566  0000001  006.030  0000002
0031.03  001.805  0000002  000.548  0000000  006.122  0000009
0032.03  001.873  0000004  000.531  0000000  006.243  0000010
0033.03  001.847  0000001  000.515  0000000  006.206  0000005
0034.02  001.823  0000001  000.500  0000000  006.144  0000004
0035.03  001.827  0000002  000.485  0000000  006.251  0000010
0036.03  001.776  0000000  000.472  0000000  006.078  0000000
0037.03  001.728  0000000  000.459  0000000  005.914  0000000
0038.03  001.762  0000003  000.447  0000000  005.942  0000007
