C:\RaDeCC\Data\AL557_062021\070621_orange_224STD.txt
Start Time 6/7/2021  10:15:50
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  001.000  0000001  004.000  0000004
0001.98  000.000  0000000  001.513  0000002  005.042  0000006
0002.98  000.000  0000000  001.006  0000000  004.022  0000002
0003.98  000.000  0000000  001.004  0000001  003.515  0000002
0005.00  000.000  0000000  001.000  0000001  003.600  0000004
0006.00  000.000  0000000  001.833  0000006  005.167  0000013
0007.00  000.000  0000000  001.714  0000001  005.286  0000006
0007.98  000.000  0000000  001.754  0000002  005.136  0000004
0009.00  000.000  0000000  001.667  0000001  004.778  0000002
0010.00  000.000  0000000  001.600  0000001  004.700  0000004
0011.00  000.000  0000000  001.636  0000002  004.818  0000006
0012.00  000.000  0000000  001.583  0000001  004.833  0000005
0013.02  000.000  0000000  001.460  0000000  004.456  0000000
0014.00  000.000  0000000  001.571  0000003  004.857  0000010
0015.00  000.000  0000000  001.467  0000000  004.667  0000002
0016.00  000.000  0000000  001.438  0000001  004.500  0000002
0017.00  000.000  0000000  001.412  0000001  004.588  0000006
0018.02  000.000  0000000  001.332  0000000  004.440  0000002
0019.02  000.000  0000000  001.262  0000000  004.259  0000001
0020.00  000.000  0000000  001.300  0000002  004.300  0000005
0021.00  000.000  0000000  001.286  0000001  004.286  0000004
0022.02  000.000  0000000  001.272  0000001  004.224  0000003
0023.02  000.000  0000000  001.477  0000006  004.562  0000012
0024.02  000.000  0000000  001.416  0000000  004.539  0000004
0025.02  000.000  0000000  001.399  0000001  004.437  0000002
0026.00  000.000  0000000  001.385  0000001  004.423  0000004
0027.02  000.000  0000000  001.370  0000001  004.331  0000002
0028.02  000.000  0000000  001.392  0000002  004.355  0000005
0029.02  000.000  0000000  001.379  0000001  004.308  0000003
0030.02  000.000  0000000  001.366  0000001  004.264  0000003
0031.03  000.000  0000000  001.353  0000001  004.221  0000003
0032.03  000.000  0000000  001.342  0000001  004.152  0000002
0033.02  000.000  0000000  001.302  0000000  004.059  0000001
