C:\RaDeCC\Data\081121_blue(3)_Standard224.txt
Start Time 08/11/2021  10:56:30
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  000.000  0000000  001.000  0000001
0002.00  000.000  0000000  000.500  0000001  002.000  0000003
0003.00  000.000  0000000  000.333  0000000  001.333  0000000
0004.00  000.000  0000000  000.750  0000002  002.250  0000005
0004.98  000.000  0000000  000.803  0000001  002.408  0000003
0006.00  000.000  0000000  000.667  0000000  002.500  0000003
0006.98  000.000  0000000  000.716  0000001  002.578  0000003
0008.00  000.000  0000000  000.750  0000001  002.500  0000002
0009.00  000.000  0000000  000.667  0000000  002.333  0000001
0010.00  000.000  0000000  000.600  0000000  002.300  0000002
0011.00  000.000  0000000  000.636  0000001  002.364  0000003
0012.02  000.000  0000000  000.666  0000001  002.330  0000002
0013.00  000.000  0000000  000.846  0000003  002.692  0000007
0014.00  000.000  0000000  000.786  0000000  002.571  0000001
0015.00  000.000  0000000  000.733  0000000  002.467  0000001
0016.00  000.000  0000000  000.688  0000000  002.375  0000001
0017.02  000.000  0000000  000.705  0000001  002.409  0000003
0018.02  000.000  0000000  000.666  0000000  002.276  0000000
0019.00  000.000  0000000  000.632  0000000  002.158  0000000
0020.00  000.000  0000000  000.700  0000002  002.250  0000004
0021.02  000.000  0000000  000.714  0000001  002.284  0000003
0022.02  000.000  0000000  000.772  0000002  002.362  0000004
0023.02  000.000  0000000  000.739  0000000  002.303  0000001
0024.02  000.000  0000000  000.708  0000000  002.248  0000001
0025.02  000.000  0000000  000.720  0000001  002.239  0000002
0026.02  000.000  0000000  000.730  0000001  002.229  0000002
0027.02  000.000  0000000  000.740  0000001  002.295  0000004
0028.02  000.000  0000000  000.785  0000002  002.356  0000004
0029.02  000.000  0000000  000.758  0000000  002.343  0000002
0030.02  000.000  0000000  000.766  0000001  002.365  0000003
0031.02  000.000  0000000  000.742  0000000  002.289  0000000
0032.02  000.000  0000000  000.750  0000001  002.311  0000003
0033.02  000.000  0000000  000.727  0000000  002.272  0000001
0034.03  000.000  0000000  000.735  0000001  002.262  0000002
0035.03  000.000  0000000  000.714  0000000  002.198  0000000
0036.02  000.000  0000000  000.722  0000001  002.221  0000003
0037.02  000.000  0000000  000.729  0000001  002.242  0000003
0038.03  000.000  0000000  000.710  0000000  002.209  0000001
0039.03  000.000  0000000  000.743  0000002  002.280  0000005
0040.03  000.000  0000000  000.749  0000001  002.273  0000002
0041.03  000.000  0000000  000.731  0000000  002.218  0000000
0042.02  000.000  0000000  000.714  0000000  002.261  0000004
0043.03  000.000  0000000  000.720  0000001  002.301  0000004
0044.03  000.000  0000000  000.727  0000001  002.339  0000004
0045.03  000.000  0000000  000.733  0000001  002.376  0000004
0046.03  000.000  0000000  000.717  0000000  002.324  0000000
0047.05  000.000  0000000  000.744  0000002  002.359  0000004
