C:\RaDeCC\Data\081121_green(4)_Standard223.txt
Start Time 08/11/2021  10:56:28
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  004.000  0000004  000.000  0000000  009.000  0000009
0002.00  003.000  0000002  000.000  0000000  007.500  0000006
0003.00  003.333  0000004  000.000  0000000  008.000  0000009
0004.00  003.250  0000003  000.000  0000000  008.250  0000009
0005.00  002.800  0000001  000.200  0000001  008.200  0000008
0006.00  002.500  0000001  000.167  0000000  007.500  0000004
0007.00  002.714  0000004  000.429  0000002  008.286  0000013
0008.00  002.500  0000001  000.375  0000000  007.500  0000002
0009.00  002.333  0000001  000.333  0000000  007.000  0000003
0010.00  002.300  0000002  000.300  0000000  006.800  0000005
0011.02  002.088  0000000  000.272  0000000  006.263  0000001
0012.02  002.164  0000003  000.250  0000000  006.325  0000007
0013.00  002.077  0000001  000.231  0000000  006.077  0000003
0014.00  002.000  0000001  000.214  0000000  005.786  0000002
0015.00  002.133  0000004  000.200  0000000  005.933  0000008
0016.02  002.248  0000004  000.312  0000002  006.618  0000017
0017.02  002.116  0000000  000.294  0000000  006.347  0000002
0018.02  002.165  0000003  000.333  0000001  006.494  0000009
0019.00  002.105  0000001  000.316  0000000  006.316  0000003
0020.02  002.298  0000006  000.400  0000002  006.844  0000017
0021.02  002.284  0000002  000.523  0000003  006.852  0000007
0022.02  002.407  0000005  000.545  0000001  007.222  0000015
0023.02  002.346  0000001  000.565  0000001  007.125  0000005
0024.03  002.288  0000001  000.583  0000001  007.157  0000008
0025.02  002.239  0000001  000.600  0000001  007.075  0000005
0026.02  002.152  0000000  000.577  0000000  006.996  0000005
0027.02  002.221  0000004  000.555  0000000  007.107  0000010
0028.02  002.249  0000003  000.571  0000001  007.174  0000009
0029.03  002.239  0000002  000.551  0000000  007.061  0000004
0030.02  002.299  0000004  000.533  0000000  007.196  0000011
0031.02  002.289  0000002  000.516  0000000  007.190  0000007
0032.02  002.249  0000001  000.500  0000000  007.059  0000003
0033.03  002.210  0000001  000.605  0000004  007.114  0000009
0034.03  002.262  0000004  000.588  0000000  007.169  0000009
0035.03  002.369  0000006  000.571  0000000  007.336  0000013
0036.02  002.388  0000003  000.555  0000000  007.330  0000007
0037.03  002.403  0000003  000.540  0000000  007.291  0000006
0038.03  002.340  0000000  000.526  0000000  007.099  0000000
0039.03  002.306  0000001  000.512  0000000  007.071  0000006
0040.03  002.248  0000000  000.500  0000000  006.894  0000000
