C:\RaDeCC\Data\AL557_062021\290621_grey_Standard223Ra.txt
Start Time 6/29/2021  12:07:28
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0000.98  001.017  0000001  000.000  0000000  002.034  0000002
0002.00  002.500  0000004  001.000  0000002  007.000  0000012
0003.00  001.667  0000000  001.000  0000001  005.333  0000002
0004.00  001.750  0000002  001.000  0000001  005.500  0000006
0004.98  001.405  0000000  001.003  0000001  004.816  0000002
0005.98  001.671  0000003  000.836  0000000  005.515  0000009
0007.00  001.571  0000001  000.714  0000000  005.000  0000002
0008.00  001.500  0000001  000.625  0000000  004.875  0000004
0009.00  001.667  0000003  000.556  0000000  005.333  0000009
0010.00  001.500  0000000  000.500  0000000  004.800  0000000
0011.00  001.545  0000002  000.545  0000001  004.909  0000006
0012.00  001.500  0000001  000.583  0000001  004.833  0000004
0013.00  001.462  0000001  000.538  0000000  004.692  0000003
0014.00  001.500  0000002  000.500  0000000  004.714  0000005
0015.02  001.532  0000002  000.466  0000000  004.661  0000004
0016.02  001.498  0000001  000.437  0000000  004.495  0000002
0017.00  001.412  0000000  000.412  0000000  004.294  0000001
0018.00  001.444  0000002  000.444  0000001  004.389  0000006
0019.00  001.632  0000005  000.421  0000000  004.684  0000010
0020.02  001.749  0000004  000.400  0000000  004.846  0000008
0021.02  001.713  0000001  000.381  0000000  004.853  0000005
0022.02  001.681  0000001  000.409  0000001  004.951  0000007
0023.00  001.609  0000000  000.391  0000000  004.783  0000001
0024.02  001.624  0000002  000.416  0000001  004.955  0000009
0025.02  001.559  0000000  000.400  0000000  004.757  0000000
0026.02  001.537  0000001  000.423  0000001  004.805  0000006
0027.02  001.518  0000001  000.444  0000001  004.775  0000004
0028.03  001.498  0000001  000.428  0000000  004.744  0000004
0029.02  001.482  0000001  000.414  0000000  004.721  0000004
0030.02  001.466  0000001  000.400  0000000  004.697  0000004
0031.02  001.515  0000003  000.451  0000002  004.804  0000008
0032.02  001.468  0000000  000.437  0000000  004.685  0000001
0033.03  001.423  0000000  000.424  0000000  004.541  0000000
0034.03  001.469  0000003  000.441  0000001  004.760  0000012
0035.02  001.485  0000002  000.428  0000000  004.769  0000005
0036.02  001.472  0000001  000.444  0000001  004.831  0000007
0037.03  001.458  0000001  000.459  0000001  004.833  0000005
0038.03  001.499  0000003  000.473  0000001  004.917  0000008
