C:\RaDeCC\Data\AL557_062021\300621_orange_Standard223Ra.txt
Start Time 6/30/2021  13:02:45
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  001.000  0000001  000.000  0000000  002.000  0000002
0002.00  001.500  0000002  000.500  0000001  004.000  0000006
0003.00  001.000  0000000  000.333  0000000  002.667  0000000
0004.00  000.750  0000000  000.250  0000000  002.750  0000003
0005.00  000.600  0000000  000.400  0000001  002.800  0000003
0006.00  000.833  0000002  000.667  0000002  003.000  0000004
0007.00  001.000  0000002  000.571  0000000  003.286  0000005
0008.00  001.250  0000003  000.500  0000000  003.750  0000007
0009.02  001.220  0000001  000.444  0000000  003.660  0000003
0010.02  001.098  0000000  000.399  0000000  003.394  0000001
0011.00  001.000  0000000  000.455  0000001  003.364  0000003
0012.00  000.917  0000000  000.417  0000000  003.083  0000000
0013.00  000.923  0000001  000.385  0000000  003.154  0000004
0014.02  000.999  0000002  000.357  0000000  003.282  0000005
0015.03  000.931  0000000  000.399  0000001  003.259  0000003
0016.03  000.998  0000002  000.374  0000000  003.306  0000004
0017.03  000.998  0000001  000.352  0000000  003.523  0000007
0018.03  000.998  0000001  000.388  0000001  003.715  0000007
0019.02  000.999  0000001  000.473  0000002  004.049  0000010
0020.03  000.948  0000000  000.449  0000000  003.844  0000000
0021.03  000.951  0000001  000.428  0000000  003.851  0000004
0022.03  000.953  0000001  000.454  0000001  003.858  0000004
0023.03  000.955  0000001  000.478  0000001  003.907  0000005
0024.03  001.082  0000004  000.458  0000000  004.202  0000011
0025.03  001.039  0000000  000.439  0000000  004.075  0000001
0026.03  000.999  0000000  000.423  0000000  003.956  0000001
0027.03  000.962  0000000  000.407  0000000  003.847  0000001
0028.05  000.963  0000001  000.392  0000000  003.815  0000003
0029.05  000.964  0000001  000.379  0000000  003.821  0000004
0030.03  000.932  0000000  000.366  0000000  003.696  0000000
0031.03  000.934  0000001  000.354  0000000  003.738  0000005
0032.03  000.937  0000001  000.343  0000000  003.746  0000004
0033.05  000.938  0000001  000.333  0000000  003.752  0000004
0034.05  000.940  0000001  000.323  0000000  003.818  0000006
0035.05  000.970  0000002  000.371  0000002  003.909  0000007
0036.03  000.999  0000002  000.361  0000000  003.941  0000005
0037.05  001.053  0000003  000.351  0000000  003.995  0000006
0038.05  001.025  0000000  000.342  0000000  003.995  0000004
0039.05  000.999  0000000  000.333  0000000  003.892  0000000
0040.05  000.999  0000001  000.325  0000000  003.895  0000004
