C:\RaDeCC\Data\Standard_223_94_grey.txt
Start Time 04/11/2021  12:54:52
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  001.000  0000001  000.000  0000000  002.000  0000002
0002.00  001.500  0000002  000.000  0000000  003.000  0000004
0003.00  002.000  0000003  000.000  0000000  004.000  0000006
0004.00  001.750  0000001  000.500  0000002  004.250  0000005
0005.02  001.595  0000001  000.399  0000000  003.787  0000002
0006.02  001.662  0000002  000.332  0000000  003.989  0000005
0007.00  001.857  0000003  000.286  0000000  004.571  0000008
0008.00  001.750  0000001  000.250  0000000  004.500  0000004
0009.00  001.556  0000000  000.333  0000001  004.222  0000002
0010.02  001.597  0000002  000.300  0000000  004.193  0000004
0011.02  001.543  0000001  000.272  0000000  004.085  0000003
0012.02  001.581  0000002  000.250  0000000  004.078  0000004
0013.00  001.462  0000000  000.308  0000001  003.923  0000002
0014.02  001.356  0000000  000.285  0000000  003.639  0000000
0015.02  001.465  0000003  000.266  0000000  003.796  0000006
0016.02  001.436  0000001  000.250  0000000  003.684  0000002
0017.02  001.469  0000002  000.235  0000000  003.761  0000005
0018.03  001.608  0000004  000.222  0000000  004.104  0000010
0019.02  001.525  0000000  000.263  0000001  003.996  0000002
0020.02  001.499  0000001  000.250  0000000  003.997  0000004
0021.02  001.523  0000002  000.238  0000000  004.044  0000005
0022.02  001.635  0000004  000.273  0000001  004.315  0000010
0023.03  001.606  0000001  000.304  0000001  004.298  0000004
0024.02  001.541  0000000  000.291  0000000  004.205  0000002
0025.02  001.559  0000002  000.280  0000000  004.197  0000004
0026.02  001.576  0000002  000.307  0000001  004.266  0000006
0027.03  001.665  0000004  000.296  0000000  004.439  0000009
0028.03  001.677  0000002  000.285  0000000  004.423  0000004
0029.03  001.757  0000004  000.379  0000003  004.615  0000010
0030.02  001.732  0000001  000.400  0000001  004.664  0000006
0031.03  001.772  0000003  000.387  0000000  004.737  0000007
0032.03  001.779  0000002  000.375  0000000  004.714  0000004
0033.03  001.847  0000004  000.363  0000000  004.874  0000010
0034.03  001.851  0000002  000.353  0000000  004.848  0000004
0035.03  001.855  0000002  000.343  0000000  004.824  0000004
0036.03  001.887  0000003  000.333  0000000  004.857  0000006
0037.03  001.863  0000001  000.324  0000000  004.806  0000003
0038.03  001.893  0000003  000.368  0000002  004.864  0000007
0039.03  001.921  0000003  000.359  0000000  004.944  0000008
0040.05  001.948  0000003  000.375  0000001  005.069  0000010
0041.05  001.924  0000001  000.365  0000000  005.043  0000004
0042.03  001.879  0000000  000.357  0000000  004.925  0000000
0043.03  001.836  0000000  000.349  0000000  004.857  0000002
0044.05  001.839  0000002  000.341  0000000  004.881  0000006
0045.05  001.820  0000001  000.377  0000002  004.883  0000005
0046.05  001.824  0000002  000.369  0000000  004.886  0000005
0047.05  001.807  0000001  000.361  0000000  004.846  0000003
0048.03  001.770  0000000  000.354  0000000  004.788  0000002
0049.05  001.774  0000002  000.347  0000000  004.811  0000006
0050.05  001.798  0000003  000.340  0000000  004.835  0000006
0051.05  001.802  0000002  000.333  0000000  004.897  0000008
0052.05  001.806  0000002  000.327  0000000  004.899  0000005
0053.07  001.809  0000002  000.320  0000000  004.899  0000005
0054.05  001.813  0000002  000.315  0000000  004.921  0000006
0055.05  001.853  0000004  000.309  0000000  005.014  0000010
0056.05  001.820  0000000  000.321  0000001  004.996  0000004
0057.07  001.822  0000002  000.315  0000000  004.977  0000004
0058.07  001.860  0000004  000.310  0000000  005.063  0000010
0059.07  001.879  0000003  000.305  0000000  005.130  0000009
0060.05  001.898  0000003  000.300  0000000  005.179  0000008
0061.05  001.900  0000002  000.295  0000000  005.176  0000005
0062.07  001.885  0000001  000.290  0000000  005.140  0000003
0063.07  001.919  0000004  000.285  0000000  005.201  0000009
0064.07  001.904  0000001  000.281  0000000  005.151  0000002
0065.05  001.968  0000006  000.277  0000000  005.273  0000013
0066.07  001.937  0000000  000.272  0000000  005.207  0000001
0067.07  001.923  0000001  000.298  0000002  005.249  0000008
0068.07  001.910  0000001  000.294  0000000  005.230  0000004
0069.07  001.926  0000003  000.290  0000000  005.270  0000008
0070.08  001.969  0000005  000.371  0000006  005.408  0000015
0071.07  001.956  0000001  000.366  0000000  005.403  0000005
0072.07  001.970  0000003  000.389  0000002  005.467  0000010
0073.07  001.957  0000001  000.383  0000000  005.433  0000003
0074.07  001.958  0000002  000.378  0000000  005.468  0000008
0075.08  001.971  0000003  000.373  0000000  005.474  0000006
0076.08  001.945  0000000  000.381  0000001  005.455  0000004
0077.07  001.946  0000002  000.376  0000000  005.450  0000005
0078.07  001.973  0000004  000.371  0000000  005.508  0000010
0079.08  001.985  0000003  000.367  0000000  005.538  0000008
0080.08  001.960  0000000  000.362  0000000  005.507  0000003
0081.08  001.936  0000000  000.358  0000000  005.451  0000001
0082.08  001.937  0000002  000.365  0000001  005.470  0000007
0083.08  001.938  0000002  000.361  0000000  005.476  0000006
0084.08  001.915  0000000  000.357  0000000  005.435  0000002
0085.08  001.904  0000001  000.364  0000001  005.430  0000005
0086.08  001.882  0000000  000.360  0000000  005.390  0000002
0087.08  001.872  0000001  000.356  0000000  005.363  0000003
0088.10  001.862  0000001  000.352  0000000  005.335  0000003
0089.08  001.841  0000000  000.348  0000000  005.332  0000005
0090.08  001.821  0000000  000.344  0000000  005.273  0000000
0091.08  001.833  0000003  000.340  0000000  005.281  0000006
0092.10  001.824  0000001  000.337  0000000  005.277  0000005
0093.10  001.805  0000000  000.344  0000001  005.263  0000004
