C:\RaDeCC\Data\Standard_224_94_orange.txt
Start Time 04/11/2021  12:55:00
Runtime  CPM219   Cnt219   CPM220   Cnt220   CPMTot   CntTot
0001.00  000.000  0000000  000.000  0000000  000.000  0000000
0001.98  000.000  0000000  001.008  0000002  002.017  0000004
0002.98  000.000  0000000  001.006  0000001  002.011  0000002
0003.98  000.000  0000000  001.004  0000001  002.259  0000003
0005.00  000.000  0000000  001.000  0000001  002.200  0000002
0006.00  000.000  0000000  000.833  0000000  001.833  0000000
0006.98  000.000  0000000  000.716  0000000  001.718  0000001
0007.98  000.000  0000000  000.752  0000001  001.754  0000002
0009.00  000.000  0000000  000.667  0000000  001.556  0000000
0010.00  000.000  0000000  000.700  0000001  001.600  0000002
0011.00  000.000  0000000  000.636  0000000  001.455  0000000
0012.00  000.000  0000000  000.833  0000003  001.833  0000006
0013.00  000.000  0000000  000.923  0000002  002.000  0000004
0014.00  000.000  0000000  000.857  0000000  001.857  0000000
0015.00  000.000  0000000  000.867  0000001  001.933  0000003
0016.00  000.000  0000000  000.813  0000000  001.938  0000002
0017.00  000.000  0000000  000.765  0000000  001.941  0000002
0018.02  000.000  0000000  000.722  0000000  001.832  0000000
0019.00  000.000  0000000  000.737  0000001  001.895  0000003
0020.00  000.000  0000000  000.700  0000000  001.950  0000003
0021.00  000.000  0000000  000.762  0000002  002.095  0000005
0022.02  000.000  0000000  000.863  0000003  002.271  0000006
0023.02  000.000  0000000  000.912  0000002  002.346  0000004
0024.02  000.000  0000000  000.916  0000001  002.373  0000003
0025.00  000.000  0000000  000.880  0000000  002.280  0000000
0026.02  000.000  0000000  000.922  0000002  002.383  0000005
0027.02  000.000  0000000  000.925  0000001  002.480  0000005
0028.02  000.000  0000000  000.892  0000000  002.391  0000000
0029.02  000.000  0000000  000.965  0000003  002.516  0000006
0030.02  000.000  0000000  000.933  0000000  002.499  0000002
0031.02  000.000  0000000  000.903  0000000  002.450  0000001
0032.02  000.000  0000000  000.906  0000001  002.467  0000003
0033.02  000.000  0000000  000.909  0000001  002.453  0000002
0034.02  000.000  0000000  000.911  0000001  002.440  0000002
0035.03  000.000  0000000  000.942  0000002  002.512  0000005
0036.03  000.000  0000000  000.944  0000001  002.525  0000003
0037.02  000.000  0000000  000.919  0000000  002.458  0000000
0038.02  000.000  0000000  000.947  0000002  002.499  0000004
0039.03  000.000  0000000  000.948  0000001  002.511  0000003
0040.03  000.000  0000000  000.974  0000002  002.573  0000005
0041.03  000.000  0000000  000.950  0000000  002.510  0000000
0042.03  000.000  0000000  000.928  0000000  002.474  0000001
